date,rank,title,gross,theaters,total_gross_to_date,days_in_release,is_opening_day
2026-05-09,-,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,57114.0,837.0,1307325.0,9,0
2026-05-09,-,The Christophers,33233.0,70.0,1751543.0,30,0
2026-05-09,-,"You, Me & Tuscany",24465.0,87.0,18680085.0,30,0
2026-05-09,-,Silent Friend,22495.0,2.0,60940.0,2,0
2026-05-09,-,Mother Mary,19362.0,55.0,2513961.0,23,0
2026-05-09,-,A Great Awakening,13302.0,88.0,8058131.0,37,0
2026-05-09,-,Erupcja,8497.0,50.0,190780.0,23,0
2026-05-09,-,Mile End Kicks,7788.0,15.0,631732.0,23,0
2026-05-09,-,I Swear,6924.0,23.0,990230.0,16,0
2026-05-09,-,Kiki’s Delivery Service,3214.0,2.0,2666368.0,12925,0
2026-05-09,-,Over Your Dead Body,2328.0,30.0,2148773.0,16,0
2026-05-09,-,Whisper of the Heart,1039.0,4.0,389494.0,623,0
2026-05-09,-,Solo Mio,938.0,5.0,25735222.0,93,0
2026-05-09,-,Fireflies at El Mozote,659.0,2.0,97906.0,23,0
2026-05-09,-,Kontinental ‘25,556.0,8.0,44135.0,44,0
2026-05-09,-,Miroirs No. 3,478.0,7.0,211742.0,51,0
2026-05-09,-,Fuze,476.0,7.0,1478784.0,16,0
2026-05-09,-,Reunion,151.0,1.0,35224.0,12840,0
2026-05-11,1,Michael,3577412.0,3550.0,245470682.0,18,0
2026-05-11,2,The Devil Wears Prada 2,3374192.0,4200.0,146821436.0,11,0
2026-05-11,3,Mortal Kombat II,2752865.0,3503.0,41254042.0,4,0
2026-05-11,4,The Sheep Detectives,1113472.0,3457.0,16201268.0,4,0
2026-05-11,5,Project Hail Mary,657403.0,2417.0,328959685.0,53,0
2026-05-11,6,The Super Mario Galaxy Movie,447790.0,3075.0,412604225.0,41,0
2026-05-11,7,Hokum,436060.0,1900.0,12859792.0,11,0
2026-05-11,8,Billie Eilish: Hit Me Hard and Soft—The Tour,411750.0,2613.0,7423061.0,4,0
2026-05-11,9,Deep Water,84938.0,1301.0,3815533.0,11,0
2026-05-11,10,Animal Farm,69239.0,2140.0,5110142.0,11,0
2026-05-11,11,Lee Cronin’s The Mummy,57502.0,612.0,28774691.0,25,0
2026-05-11,-,The Drama,48954.0,292.0,47772423.0,39,0
2026-05-11,-,The Story of Everything,33082.0,260.0,1833290.0,12,0
2026-05-11,-,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,20368.0,837.0,1366264.0,11,0
2026-05-11,-,Labyrinth,18887.0,430.0,39513.0,2,0
