title,year,numbers_slug,thu_preview,fri,sat,sun,weekend_total_daily,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_remaining_mult,opening_rank,opening_theaters,per_theater
Willy's Wonderland,2021,Willys-Wonderland-(2021),,,,,,,,,,,,
2021 Oscar Nominated Short Films: Live Action,2021,2021-Oscar-Nominated-Short-Films-Live-Action-(2021),,,,,,,,,,,,
Flag Day,2021,Flag-Day-(2021),,11959.0,18690.0,12304.0,42953.0,42953.0,3.5917,3.5917,1.6583,-,24.0,498.0
Dutch,2021,Dutch-(2021),,,,,,,,,,,,
Top Gun,2021,Top-Gun-(2021),,,,,,,,,,,,
Ghostbusters,2021,Ghostbusters-(2021),,,,,,,,,,,,
The Metropolitan Opera HD Live: Mussorgsky: Boris Godunov,2021,The-Metropolitan-Opera-HD-Live-Mussorgsky-Boris-Godunov-(2021),,,,,,,,,,,,
Red Rocket,2021,Red-Rocket-(2021),,39660.0,31282.0,25651.0,96593.0,96593.0,2.4355,2.4355,1.82,-,6.0,6610.0
Crisis,2021,Crisis-(2021),,,,,,,,,,,,
Julia,2021,Julia-(2021),,,,,,,,,,,,
Ghost in the Shell,2021,Ghost-in-the-Shell-(2021),1800000.0,7660626.0,6683215.0,4332192.0,20476033.0,18676033.0,2.6729,2.4379,1.6482,3,3440.0,2227.0
The Dry,2021,The-Dry-(2021),,,,,,,,,,,,
"Dad, I'm Sorry",2021,Dad-Im-Sorry-(2021),,,,,,,,,,,,
The Battle at Lake Changjin,2021,The-Battle-at-Lake-Changjin-(2021),,,,,,,,,,,,
The Emperor's New Groove,2021,The-Emperors-New-Groove-(2021),,,,,,,,,,,,
Freaky,2021,Freaky-(2021),,,,,,,,,,,,
Benedetta,2021,Benedetta-(2021),,,,,,,,,,,,
Drive My Car,2021,Drive-My-Car-(2021),,,,,,,,,,,,
Final Account,2021,Final-Account-(2021),,,,,,,,,,,,
The Water Man,2021,The-Water-Man-(2021),,,,,,,,,,,,
India Sweets and Spices,2021,India-Sweets-and-Spices-(2021),,59379.0,62486.0,48764.0,170629.0,170629.0,2.8736,2.8736,1.7804,-,343.0,173.0
American Skin,2021,American-Skin-(2021),,15587.0,18259.0,12564.0,46410.0,46410.0,2.9775,2.9775,1.6881,-,51.0,306.0
New Order,2021,New-Order-(2021),,,,,,,,,,,,
Blithe Spirit,2021,Blithe-Spirit-(2021),,,,,,,,,,,,
I'm Your Man,2021,Im-Your-Man-(2021),,,,,,,,,,,,
Escape from Mogadishu,2021,Escape-from-Mogadishu-(2021),,,,,,,,,,,,
Raging Fire,2021,Raging-Fire-(2021),,,,,,,,,,,,
A Mouthful of Air,2021,A-Mouthful-of-Air-(2021),,,,,,,,,,,,
Once I Was Engaged,2021,Once-I-Was-Engaged-(2021),,34322.0,8898.0,17402.0,60622.0,60622.0,1.7663,1.7663,2.9557,-,28.0,1226.0
Rita Moreno: Just a Girl Who Decided to Go for It,2021,Rita-Moreno-Just-a-Girl-Who-Decided-to-Go-for-It-(2021),,,,,,,,,,,,
Weathering with You,2021,Weathering-with-You-(2021),,,,,,,,,,,,
Becoming Cousteau,2021,Becoming-Cousteau-(2021),,,,,,,,,,,,
Half Brothers,2021,Half-Brothers-(2021),,,,,,,,,,,,
Supernova,2021,Supernova-(2021),,1789000.0,2293000.0,1696639.0,5778639.0,5778639.0,3.2301,3.2301,1.7399,5,2280.0,785.0
Limbo,2021,Limbo-(2021),,17381.0,15434.0,70000.0,102815.0,102815.0,5.9154,5.9154,5.5354,20,15.0,1159.0
Promare,2021,Promare-(2021),,,,,,,,,,,,
Together,2021,Together-(2021),,,,,,,,,,,,
Ailey,2021,Ailey-(2021),,,,,,,,,,,,
The Swimming Pool,2021,The-Swimming-Pool-(2021),,,,,,,,,,,,
The Resort,2021,The-Resort-(2021),,,,,,,,,,,,
Groundhog Day,2021,Groundhog-Day-(2021),,2134436.0,22104.0,37895.0,2194435.0,2194435.0,1.0281,1.0281,2.7144,1,1640.0,1301.0
Black Panther: Wakanda Forever,2022,Black-Panther-Wakanda-Forever-(2022),28000000.0,84285721.0,56131051.0,40922989.0,209339761.0,181339761.0,2.4837,2.1515,1.7291,1,4396.0,19173.0
Doctor Strange in the Multiverse of Madness,2022,Doctor-Strange-in-the-Multiverse-of-Madness-(2022),36000000.0,90720784.0,57806850.0,38893364.0,223420998.0,187420998.0,2.4627,2.0659,1.6728,1,4534.0,20009.0
Kaamelott: First Installment,2021,Kaamelott-First-Installment-(2021),,,,,,,,,,,,
Top Gun: Maverick,2022,Top-Gun-Maverick-(2022),19300000.0,52012661.0,38017701.0,36677097.0,146007459.0,126707459.0,2.8072,2.4361,1.9647,1,4735.0,10985.0
Avatar: The Way of Water,2022,Avatar-The-Way-of-Water-(2022),17000000.0,53200270.0,44327887.0,36572069.0,151100226.0,134100226.0,2.8402,2.5207,1.825,1,4202.0,12661.0
Jurassic World: Dominion,2022,Jurassic-World-Dominion-(2022),18000000.0,59591515.0,46887000.0,38597110.0,163075625.0,145075625.0,2.7366,2.4345,1.8232,1,4676.0,12744.0
Thor: Love and Thunder,2022,Thor-Love-and-Thunder-(2022),29000000.0,69554073.0,42112494.0,32498540.0,173165107.0,144165107.0,2.4896,2.0727,1.7717,1,4375.0,15898.0
The Batman,2022,The-Batman-(2022),,,,,,,,,,,,
Minions: The Rise of Gru,2022,Minions-The-Rise-of-Gru-(2022),,,,,,,,,,,,
Spider-Man: No Way Home,2022,Spider-Man-No-Way-Home-(2022),,,,,,,,,,,,
Sonic the Hedgehog 2,2022,Sonic-the-Hedgehog-2-(2022),6250000.0,26381096.0,26898385.0,18825695.0,78355176.0,72105176.0,2.9701,2.7332,1.6999,1,4234.0,6231.0
Black Adam,2022,Black-Adam-(2022),7600000.0,26688324.0,23712485.0,16603514.0,74604323.0,67004323.0,2.7954,2.5106,1.7002,1,4402.0,6063.0
Uncharted,2022,Uncharted-(2022),3700000.0,15376642.0,16275559.0,12357954.0,47710155.0,44010155.0,3.1028,2.8621,1.7593,1,4275.0,3597.0
Nope,2022,Nope-(2022),6400000.0,19538690.0,13938155.0,10890065.0,50766910.0,44366910.0,2.5983,2.2707,1.7813,1,3785.0,5162.0
Lightyear,2022,Lightyear-(2022),5200000.0,20705945.0,16095675.0,13776341.0,55777961.0,50577961.0,2.6938,2.4427,1.8559,1,4255.0,4866.0
