title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url
Downhill,2020,Feb 14,8287061.0,2311.0,-,,https://www.boxofficemojo.com/release/rl2611249665/?ref_=bo_yld_table_46
Weathering with You,2020,Jan 15,8056636.0,1020.0,-,,https://www.boxofficemojo.com/release/rl3669066241/?ref_=bo_yld_table_47
Cats,2020,Dec 20,27166770.0,3380.0,-,,https://www.boxofficemojo.com/release/rl2684847617/?ref_=bo_yld_table_48
The Hunt,2020,Mar 13,5812500.0,3028.0,-,,https://www.boxofficemojo.com/release/rl1459979777/?ref_=bo_yld_table_49
The Rhythm Section,2020,Jan 31,5437971.0,3049.0,-,,https://www.boxofficemojo.com/release/rl3775038977/?ref_=bo_yld_table_50
Monster Hunter,2020,Dec 18,15162470.0,1817.0,-,,https://www.boxofficemojo.com/release/rl1862895105/?ref_=bo_yld_table_51
A Beautiful Day in the Neighborhood,2020,Nov 22,61704055.0,3491.0,-,,https://www.boxofficemojo.com/release/rl2651096577/?ref_=bo_yld_table_52
Hocus Pocus,2020,Oct 2,43846.0,2570.0,-,,https://www.boxofficemojo.com/release/rl1331004161/?ref_=bo_yld_table_53
Richard Jewell,2020,Dec 13,22345542.0,2502.0,-,,https://www.boxofficemojo.com/release/rl2903213569/?ref_=bo_yld_table_54
The SpongeBob Movie: Sponge on the Run,2020,Aug 14,4810790.0,326.0,-,,https://www.boxofficemojo.com/release/rl2558297601/?ref_=bo_yld_table_55
The Broken Hearts Gallery,2020,Sep 11,4067442.0,2221.0,-,,https://www.boxofficemojo.com/release/rl742425345/?ref_=bo_yld_table_56
Infidel,2020,Sep 18,4051990.0,1885.0,-,,https://www.boxofficemojo.com/release/rl314475009/?ref_=bo_yld_table_57
News of the World,2020,Dec 25,12668325.0,1986.0,-,,https://www.boxofficemojo.com/release/rl3054208513/?ref_=bo_yld_table_58
Portrait of a Lady on Fire,2020,Dec 6,3759854.0,334.0,-,,https://www.boxofficemojo.com/release/rl1325958657/?ref_=bo_yld_table_59
Bill & Ted Face the Music,2020,Aug 28,3439660.0,1007.0,-,,https://www.boxofficemojo.com/release/rl3926492673/?ref_=bo_yld_table_60
2020 Oscar Nominated Short Films,2020,Jan 31,3306611.0,536.0,-,,https://www.boxofficemojo.com/release/rl615875073/?ref_=bo_yld_table_61
Queen & Slim,2020,Nov 27,43808310.0,1715.0,-,,https://www.boxofficemojo.com/release/rl50824705/?ref_=bo_yld_table_62
The Empty Man,2020,Oct 23,2992948.0,2051.0,-,,https://www.boxofficemojo.com/release/rl168527361/?ref_=bo_yld_table_63
My Boyfriend's Meds,2020,Feb 21,2971116.0,350.0,-,,https://www.boxofficemojo.com/release/rl537298433/?ref_=bo_yld_table_64
The Last Full Measure,2020,Jan 24,2949212.0,617.0,-,,https://www.boxofficemojo.com/release/rl1617987073/?ref_=bo_yld_table_65
Words on Bathroom Walls,2020,Aug 21,2542518.0,1395.0,-,,https://www.boxofficemojo.com/release/rl2437120769/?ref_=bo_yld_table_66
Star Wars: Episode V - The Empire Strikes Back,2020,Jul 10,2482000.0,2097.0,-,,https://www.boxofficemojo.com/release/rl172327681/?ref_=bo_yld_table_67
Fatale,2020,Dec 18,6306897.0,1222.0,-,,https://www.boxofficemojo.com/release/rl1846248961/?ref_=bo_yld_table_68
The Nightmare Before Christmas,2020,Oct 16,2286000.0,2194.0,-,,https://www.boxofficemojo.com/release/rl3260515073/?ref_=bo_yld_table_69
Ip Man 4: The Finale,2020,Dec 25,3956031.0,125.0,-,,https://www.boxofficemojo.com/release/rl1386316289/?ref_=bo_yld_table_70
Half Brothers,2020,Dec 4,2241980.0,1386.0,-,,https://www.boxofficemojo.com/release/rl760382209/?ref_=bo_yld_table_71
Elf,2020,Nov 13,2182679.0,850.0,-,,https://www.boxofficemojo.com/release/rl3042738945/?ref_=bo_yld_table_72
The Personal History of David Copperfield,2020,Aug 28,1876298.0,1550.0,-,,https://www.boxofficemojo.com/release/rl413237761/?ref_=bo_yld_table_73
The Wretched,2020,May 1,1814193.0,101.0,-,,https://www.boxofficemojo.com/release/rl716997121/?ref_=bo_yld_table_74
The Lodge,2020,Feb 7,2138907.0,395.0,-,,https://www.boxofficemojo.com/release/rl2517140993/?ref_=bo_yld_table_75
Joker,2020,Oct 4,335451311.0,4374.0,-,,https://www.boxofficemojo.com/release/rl252151297/?ref_=bo_yld_table_76
The Rental,2020,Jul 24,1637548.0,250.0,-,,https://www.boxofficemojo.com/release/rl1857978881/?ref_=bo_yld_table_77
Once Upon a Time... in Hollywood,2020,Jul 26,142502728.0,3659.0,-,,https://www.boxofficemojo.com/release/rl520455681/?ref_=bo_yld_table_78
Jurassic Park,2020,Jun 19,1386600.0,316.0,-,,https://www.boxofficemojo.com/release/rl54887169/?ref_=bo_yld_table_79
2 Hearts,2020,Oct 16,1349286.0,1683.0,-,,https://www.boxofficemojo.com/release/rl4282483457/?ref_=bo_yld_table_80
Promising Young Woman,2020,Dec 25,6460965.0,1448.0,-,,https://www.boxofficemojo.com/release/rl3852829185/?ref_=bo_yld_table_81
True to the Game 2,2020,Nov 6,1200871.0,281.0,-,,https://www.boxofficemojo.com/release/rl4267213569/?ref_=bo_yld_table_82
Peninsula,2020,Aug 7,1231407.0,151.0,-,,https://www.boxofficemojo.com/release/rl2722267905/?ref_=bo_yld_table_83
The Assistant,2020,Jan 31,1100313.0,25.0,-,,https://www.boxofficemojo.com/release/rl1554088449/?ref_=bo_yld_table_84
Love and Monsters,2020,Oct 16,1070714.0,387.0,-,,https://www.boxofficemojo.com/release/rl4043867649/?ref_=bo_yld_table_85
Relic,2020,Jul 3,1047083.0,133.0,-,,https://www.boxofficemojo.com/release/rl1807647233/?ref_=bo_yld_table_86
The Tax Collector,2020,Aug 7,1044212.0,138.0,-,,https://www.boxofficemojo.com/release/rl390497025/?ref_=bo_yld_table_87
The Last Shift,2020,Sep 25,1034467.0,886.0,-,,https://www.boxofficemojo.com/release/rl106070785/?ref_=bo_yld_table_88
Becky,2020,Jun 5,1004574.0,54.0,-,,https://www.boxofficemojo.com/release/rl826311425/?ref_=bo_yld_table_89
The Song of Names,2020,Dec 25,1077584.0,182.0,-,,https://www.boxofficemojo.com/release/rl2953545217/?ref_=bo_yld_table_90
All My Life,2020,Dec 4,913935.0,970.0,-,,https://www.boxofficemojo.com/release/rl3495330561/?ref_=bo_yld_table_91
Mafia Inc,2020,Feb 14,889863.0,85.0,-,,https://www.boxofficemojo.com/release/rl3702948353/?ref_=bo_yld_table_92
National Lampoon's Christmas Vacation,2020,Nov 25,871000.0,620.0,-,,https://www.boxofficemojo.com/release/rl3864953601/?ref_=bo_yld_table_93
Jay and Silent Bob Reboot,2020,Oct 15,4589490.0,788.0,-,,https://www.boxofficemojo.com/release/rl3406333441/?ref_=bo_yld_table_94
A Hidden Life,2020,Dec 13,1730597.0,151.0,-,,https://www.boxofficemojo.com/release/rl2500363777/?ref_=bo_yld_table_95
Cut Throat City,2020,Aug 21,855894.0,389.0,-,,https://www.boxofficemojo.com/release/rl2243396097/?ref_=bo_yld_table_96
The Goonies,2020,Jul 10,825000.0,457.0,-,,https://www.boxofficemojo.com/release/rl2051375873/?ref_=bo_yld_table_97
Sarileru Neekevvaru,2020,Jan 10,821000.0,300.0,-,,https://www.boxofficemojo.com/release/rl565084673/?ref_=bo_yld_table_98
Vanguard,2020,Nov 20,793525.0,1375.0,-,,https://www.boxofficemojo.com/release/rl1465352961/?ref_=bo_yld_table_99
21 Bridges,2020,Nov 22,28539757.0,2665.0,-,,https://www.boxofficemojo.com/release/rl2886174209/?ref_=bo_yld_table_100
Jaws,2020,Jun 19,758300.0,187.0,-,,https://www.boxofficemojo.com/release/rl2084930305/?ref_=bo_yld_table_101
Possessor,2020,Oct 2,752885.0,320.0,-,,https://www.boxofficemojo.com/release/rl3192554241/?ref_=bo_yld_table_102
After We Collided,2020,Oct 23,2386483.0,546.0,-,,https://www.boxofficemojo.com/release/rl726762241/?ref_=bo_yld_table_103
Coco,2020,Nov 22,210460015.0,3987.0,-,,https://www.boxofficemojo.com/release/rl3983050241/?ref_=bo_yld_table_104
Toy Story,2020,Nov 6,727000.0,2102.0,-,,https://www.boxofficemojo.com/release/rl1700430593/?ref_=bo_yld_table_105
"Monsters, Inc.",2020,Oct 23,726000.0,1875.0,-,,https://www.boxofficemojo.com/release/rl2270790401/?ref_=bo_yld_table_106
Baaghi 3,2020,Mar 6,721439.0,265.0,-,,https://www.boxofficemojo.com/release/rl397902337/?ref_=bo_yld_table_107
The Santa Clause,2020,Nov 20,706000.0,1581.0,-,,https://www.boxofficemojo.com/release/rl1482654465/?ref_=bo_yld_table_108
Patterns of Evidence: The Red Sea Miracle,2020,Feb 18,696191.0,807.0,-,,https://www.boxofficemojo.com/release/rl1874035201/?ref_=bo_yld_table_109
Pain and Glory,2020,Oct 4,4567338.0,266.0,-,,https://www.boxofficemojo.com/release/rl1980270081/?ref_=bo_yld_table_110
The Polar Express,2020,Dec 4,711000.0,450.0,-,,https://www.boxofficemojo.com/release/rl3210904321/?ref_=bo_yld_table_111
The Last Vermeer,2020,Nov 20,685380.0,912.0,-,,https://www.boxofficemojo.com/release/rl3048374785/?ref_=bo_yld_table_112
The Addams Family,2020,Oct 23,678926.0,1307.0,-,,https://www.boxofficemojo.com/release/rl190350081/?ref_=bo_yld_table_113
Merci pour tout,2020,Dec 25,1073969.0,76.0,-,,https://www.boxofficemojo.com/release/rl3232530945/?ref_=bo_yld_table_114
Maleficent: Mistress of Evil,2020,Oct 18,113929605.0,3820.0,-,,https://www.boxofficemojo.com/release/rl939755009/?ref_=bo_yld_table_115
Ghostbusters,2020,Jul 3,605000.0,622.0,-,,https://www.boxofficemojo.com/release/rl423985921/?ref_=bo_yld_table_116
Chhapaak,2020,Jan 10,604334.0,100.0,-,,https://www.boxofficemojo.com/release/rl3316417025/?ref_=bo_yld_table_117
Shortcut,2020,Sep 25,588869.0,704.0,-,,https://www.boxofficemojo.com/release/rl1833927425/?ref_=bo_yld_table_118
Panga,2020,Jan 24,582720.0,102.0,-,,https://www.boxofficemojo.com/release/rl951026177/?ref_=bo_yld_table_119
Midway,2020,Nov 8,56846802.0,3242.0,-,,https://www.boxofficemojo.com/release/rl2634515969/?ref_=bo_yld_table_120
Black Christmas,2020,Dec 13,10429730.0,2625.0,-,,https://www.boxofficemojo.com/release/rl1308788225/?ref_=bo_yld_table_121
Synchronic,2020,Oct 23,636673.0,327.0,-,,https://www.boxofficemojo.com/release/rl3075572481/?ref_=bo_yld_table_122
Guardians of the Galaxy,2020,Nov 13,542000.0,1560.0,-,,https://www.boxofficemojo.com/release/rl526156545/?ref_=bo_yld_table_123
Color Out of Space,2020,Jan 24,765561.0,81.0,-,,https://www.boxofficemojo.com/release/rl3182658049/?ref_=bo_yld_table_124
Followed,2020,Jun 19,538179.0,100.0,-,,https://www.boxofficemojo.com/release/rl792756993/?ref_=bo_yld_table_125
Alone,2020,Sep 18,537589.0,173.0,-,,https://www.boxofficemojo.com/release/rl1565754113/?ref_=bo_yld_table_126
Harriet,2020,Nov 1,43082155.0,2186.0,-,,https://www.boxofficemojo.com/release/rl369657345/?ref_=bo_yld_table_127
Kajillionaire,2020,Sep 25,531430.0,547.0,-,,https://www.boxofficemojo.com/release/rl1639809537/?ref_=bo_yld_table_128
The Addams Family,2020,Oct 11,100044905.0,4107.0,-,,https://www.boxofficemojo.com/release/rl101025281/?ref_=bo_yld_table_129
