title,year,release_date,total_gross_domestic,max_theaters,genre,budget_chart,detail_url,opening_weekend,opening_theaters,budget,mpaa_rating,runtime_min,distributor,title_norm,rt_slug,wayback_timestamp,rt_score_prerelease,rt_reviews_prerelease,rt_audience_prerelease,rt_score_final,rt_reviews_final,rt_audience_final,release_dt,release_month,release_dow,release_year,is_holiday_weekend,is_summer,is_awards_season,is_spring_break,is_sequel,distributor_group,mpaa_ordinal,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Musical,genre_Romance,genre_Sci-Fi,genre_Thriller,primary_genre,budget_known,log_budget,rt_score_delta,log_rt_reviews_release,log_opening_weekend,log_total_gross,dist_A24,dist_Amazon,dist_Disney,dist_Lionsgate,dist_Netflix,dist_Other,dist_Paramount,dist_Sony,dist_Universal,dist_WB,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
Onward,2020,2020-03-06,61555145.0,4310.0,Adventure Animation Comedy Drama Family Fantasy,,https://www.boxofficemojo.com/release/rl3433267713/?ref_=bo_yld_table_11,39119861.0,4310.0,,PG,102.0,Walt Disney Studios Motion Pictures,onward,onward,20200305193735.0,87.0,154.0,,88.0,346.0,95.0,2020-03-06,3.0,4.0,2020.0,0,0,0,1,0,Disney,2,0,1,1,1,0,1,1,1,0,0,0,0,0,Adventure Animation Comedy Drama Family Fantasy,0,0.0,1.0,5.043425116919247,17.482140875517306,17.9354440139236,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Tenet,2020,2020-09-03,58504105.0,2930.0,Action Sci-Fi Thriller,,https://www.boxofficemojo.com/release/rl1442940417/?ref_=bo_yld_table_12,9353090.0,2810.0,205000000.0,PG,150.0,Warner Bros.,tenet,tenet,20200903202558.0,,,,70.0,379.0,76.0,2020-09-03,9.0,3.0,2020.0,1,0,0,0,0,WB,2,1,0,0,0,0,0,0,0,0,0,0,1,1,Action Sci-Fi Thriller,1,19.138520541980732,,0.0,16.05121743486791,17.884607497773207,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Knives Out,2020,2019-11-27,165363234.0,3461.0,Comedy Crime Drama Mystery Thriller,,https://www.boxofficemojo.com/release/rl3204875777/?ref_=bo_yld_table_13,26769548.0,3461.0,40000000.0,PG,130.0,Lionsgate,knives out,knives_out,,,,,97.0,471.0,92.0,2019-11-27,11.0,2.0,2019.0,1,0,1,0,0,Lionsgate,2,0,0,0,1,1,1,0,0,0,0,0,0,1,Comedy Crime Drama Mystery Thriller,1,17.50439003707821,,0.0,17.102775568137584,18.9236550365233,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Frozen II,2020,2019-11-22,477373578.0,4440.0,Adventure Animation Comedy Drama Family Fantasy Musical,,https://www.boxofficemojo.com/release/rl2424210945/?ref_=bo_yld_table_14,130263358.0,4440.0,150000000.0,PG,103.0,Walt Disney Studios Motion Pictures,frozen ii,frozen_ii,,,,,77.0,341.0,92.0,2019-11-22,11.0,4.0,2019.0,1,0,1,0,1,Disney,2,0,1,1,1,0,1,1,1,0,1,0,0,0,Adventure Animation Comedy Drama Family Fantasy Musical,1,18.826145858727198,,0.0,18.685068797637815,19.983809926810054,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Spies in Disguise,2020,2019-12-25,66757013.0,3502.0,Action Adventure Animation Comedy Drama Family Sci-Fi Thriller,,https://www.boxofficemojo.com/release/rl1333691905/?ref_=bo_yld_table_15,13354798.0,3502.0,100000000.0,PG,102.0,20th Century Fox,spies in disguise,spies_in_disguise,,,,,76.0,123.0,92.0,2019-12-25,12.0,2.0,2019.0,1,0,1,0,0,Other,2,1,1,1,1,0,1,1,0,0,0,0,1,1,Action Adventure Animation Comedy Drama Family Sci-Fi Thriller,1,18.420680753952364,,0.0,16.40738635387007,18.016569928375944,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
The Gentlemen,2020,2020-01-24,36471795.0,2675.0,Action Comedy Crime,,https://www.boxofficemojo.com/release/rl3473442305/?ref_=bo_yld_table_16,10651884.0,2165.0,22000000.0,R,113.0,STX Entertainment,the gentlemen,the_gentlemen,,,,,75.0,277.0,84.0,2020-01-24,1.0,4.0,2020.0,0,0,0,0,0,Other,4,1,0,0,1,1,0,0,0,0,0,0,0,0,Action Comedy Crime,1,16.906553056777135,,0.0,16.18124742976305,17.4120498075279,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Just Mercy,2020,Dec 25,36001502.0,2457.0,Biography Crime Drama,,https://www.boxofficemojo.com/release/rl419792385/?ref_=bo_yld_table_17,107858.0,4.0,25000000.0,PG,137.0,Warner Bros.,just mercy,just_mercy,,,,,85.0,310.0,99.0,,,,2020.0,0,0,0,0,0,WB,2,0,0,0,0,1,1,0,0,0,0,0,0,0,Biography Crime Drama,1,17.034386422832473,,0.0,11.588580097570658,17.39907124554888,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Croods: A New Age,2020,2020-11-25,58568815.0,2211.0,Adventure Animation Comedy Family Fantasy,,https://www.boxofficemojo.com/release/rl3209528833/?ref_=bo_yld_table_18,9724200.0,2211.0,,PG,95.0,Universal Pictures,the croods a new age,the_croods_a_new_age,,,,,77.0,156.0,94.0,2020-11-25,11.0,2.0,2020.0,1,0,1,0,1,Universal,2,0,1,1,1,0,0,1,1,0,0,0,0,0,Adventure Animation Comedy Family Fantasy,0,0.0,,0.0,16.090128284710485,17.885712962734438,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Parasite,2020,Oct 11,53369749.0,2001.0,Drama Thriller,,https://www.boxofficemojo.com/release/rl1258849793/?ref_=bo_yld_table_19,393216.0,3.0,11400000.0,R,132.0,Neon,parasite,,,,,,,,,,,,2020.0,0,0,0,0,0,Other,4,0,0,0,0,0,1,0,0,0,0,0,0,1,Drama Thriller,1,16.249124001084017,,0.0,12.882116901315456,17.792754664019597,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fantasy Island,2020,2020-02-14,27309289.0,2784.0,Fantasy Horror Mystery,,https://www.boxofficemojo.com/release/rl1611040257/?ref_=bo_yld_table_20,12310420.0,2784.0,7000000.0,PG,109.0,Sony Pictures Releasing,fantasy island,fantasy_island,,,,,86.0,2.0,86.0,2020-02-14,2.0,4.0,2020.0,1,0,0,0,0,Sony,2,0,0,0,0,0,0,0,1,1,0,0,0,0,Fantasy Horror Mystery,1,15.76142084987672,,0.0,16.325956697413364,17.122737495308936,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Uncut Gems,2020,Dec 13,50023780.0,2686.0,Crime Drama Thriller,,https://www.boxofficemojo.com/release/rl3825763841/?ref_=bo_yld_table_21,537242.0,5.0,19000000.0,R,135.0,A24,uncut gems,uncut_gems,,,,,91.0,350.0,52.0,,,,2020.0,0,0,0,0,0,A24,4,0,0,0,0,1,1,0,0,0,0,0,0,1,Crime Drama Thriller,1,16.759949589762293,,0.0,13.194205785103915,17.72800907032108,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The New Mutants,2020,2020-08-28,23852659.0,2754.0,Action Horror Mystery Sci-Fi,,https://www.boxofficemojo.com/release/rl1098876417/?ref_=bo_yld_table_22,7037017.0,2412.0,,PG,94.0,20th Century Studios,the new mutants,the_new_mutants,,,,,36.0,136.0,55.0,2020-08-28,8.0,4.0,2020.0,0,1,0,0,0,Disney,2,1,0,0,0,0,0,0,0,1,0,0,1,0,Action Horror Mystery Sci-Fi,0,0.0,,0.0,15.766695058853614,16.987406299477893,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Wonder Woman 1984,2020,2020-12-25,46801036.0,2218.0,Action Adventure Fantasy,,https://www.boxofficemojo.com/release/rl3624109569/?ref_=bo_yld_table_23,16701957.0,2151.0,,PG,151.0,Warner Bros.,wonder woman 1984,wonder_woman_1984,,,,,57.0,455.0,73.0,2020-12-25,12.0,4.0,2020.0,1,0,1,0,0,WB,2,1,1,0,0,0,0,0,1,0,0,0,0,0,Action Adventure Fantasy,0,0.0,,0.0,16.631036516023247,17.661415918762046,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Like a Boss,2020,2020-01-10,22169514.0,3081.0,Comedy,,https://www.boxofficemojo.com/release/rl4278486529/?ref_=bo_yld_table_24,10011272.0,3078.0,29000000.0,R,83.0,Paramount Pictures,like a boss,like_a_boss,20200109202528.0,25.0,40.0,,22.0,159.0,65.0,2020-01-10,1.0,4.0,2020.0,0,0,0,0,0,Paramount,4,0,0,0,1,0,0,0,0,0,0,0,0,0,Comedy,1,17.182806422433504,-3.0,3.713572066704308,16.119222316032797,16.91422870494364,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Grudge,2020,2020-01-03,21221803.0,2642.0,Fantasy Horror,,https://www.boxofficemojo.com/release/rl1745126913/?ref_=bo_yld_table_25,11404113.0,2642.0,10000000.0,R,94.0,Sony Pictures Releasing,the grudge,the_grudge,,,,,41.0,163.0,46.0,2020-01-03,1.0,4.0,2020.0,0,0,0,0,0,Sony,4,0,0,0,0,0,0,0,1,1,0,0,0,0,Fantasy Horror,1,16.118095750958314,,0.0,16.249484725457194,16.870539701674222,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Unhinged,2020,Aug 14,20831465.0,2402.0,Action Thriller,,https://www.boxofficemojo.com/release/rl2141815297/?ref_=bo_yld_table_26,601032.0,299.0,,R,90.0,Solstice Studios,unhinged,unhinged,,,,,27.0,49.0,27.0,,,,2020.0,0,0,0,0,0,Other,4,1,0,0,0,0,0,0,0,0,0,0,0,1,Action Thriller,0,0.0,,0.0,13.306405120495786,16.85197519002133,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Photograph,2020,2020-02-14,20578185.0,2516.0,Drama Romance,,https://www.boxofficemojo.com/release/rl1655931393/?ref_=bo_yld_table_27,12181865.0,2516.0,16000000.0,PG,106.0,Universal Pictures,the photograph,the-photograph,,,,,62.0,10.0,62.0,2020-02-14,2.0,4.0,2020.0,1,0,0,0,0,Universal,2,0,0,0,0,0,1,0,0,0,0,1,0,0,Drama Romance,1,16.588099342704055,,0.0,16.315459010482243,16.839742140656323,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
The War with Grandpa,2020,2020-10-09,21277892.0,2365.0,Comedy Drama Family,,https://www.boxofficemojo.com/release/rl1078166273/?ref_=bo_yld_table_28,3623880.0,2250.0,,PG,94.0,101 Studios,the war with grandpa,the_war_with_grandpa,,,,,29.0,121.0,85.0,2020-10-09,10.0,4.0,2020.0,0,0,0,0,0,Other,2,0,0,0,1,0,1,1,0,0,0,0,0,0,Comedy Drama Family,0,0.0,,0.0,15.103056108961281,16.873179204377696,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Underwater,2020,2020-01-10,17291078.0,2791.0,Action Adventure Horror Sci-Fi Thriller,,https://www.boxofficemojo.com/release/rl302548481/?ref_=bo_yld_table_29,7008297.0,2791.0,,PG,95.0,20th Century Fox,underwater,underwater,,,,,13.0,6.0,13.0,2020-01-10,1.0,4.0,2020.0,0,0,0,0,0,Other,2,1,1,0,0,0,0,0,0,1,0,0,1,1,Action Adventure Horror Sci-Fi Thriller,0,0.0,,0.0,15.762605433525344,16.665701261727335,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Turning,2020,2020-01-24,15472775.0,2571.0,Drama Horror Mystery,,https://www.boxofficemojo.com/release/rl3020195329/?ref_=bo_yld_table_30,6950045.0,2571.0,14000000.0,PG,94.0,Universal Pictures,the turning,the_turning,,,,,86.0,28.0,54.0,2020-01-24,1.0,4.0,2020.0,0,0,0,0,0,Universal,2,0,0,0,0,0,1,0,0,1,0,0,0,0,Drama Horror Mystery,1,16.454567959008102,,0.0,15.754258836224107,16.55459265053641,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Gretel & Hansel,2020,2020-01-31,15347654.0,3007.0,Fantasy Horror Mystery Thriller,,https://www.boxofficemojo.com/release/rl3842541057/?ref_=bo_yld_table_31,6154007.0,3007.0,,PG,87.0,United Artists Releasing,gretel  hansel,gretel_and_hansel,,,,,63.0,115.0,23.0,2020-01-31,1.0,4.0,2020.0,0,0,0,0,0,Other,2,0,0,0,0,0,0,0,1,1,0,0,0,1,Fantasy Horror Mystery Thriller,0,0.0,,0.0,15.63261413483078,16.546473251597508,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
