title,opening_date,thu_preview,fri,sat,sun,weekend_total,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_sun_ratio,opening_theaters
The Way Back,2020-03-06,,2617147.0,3504426.0,2048742.0,8170315.0,8170315.0,3.1218,3.1218,0.5846,2718.0
The Way I See it,2020-09-18,,7355.0,10745.0,7050.0,25150.0,25150.0,3.4194,3.4194,0.6561,124.0
The Wedding Banquet,2025-04-18,,361595.0,321924.0,235080.0,918599.0,918599.0,2.5404,2.5404,0.7302,1142.0
The Whale,2022-12-09,,159150.0,111789.0,61213.0,332152.0,332152.0,2.087,2.087,0.5476,6.0
The Wild Robot,2024-09-27,,11197075.0,14405440.0,10187635.0,35790150.0,35790150.0,3.1964,3.1964,0.7072,3962.0
The Wizard of the Kremlin,2026-05-15,,310719.0,96441.0,78819.0,485979.0,485979.0,1.564,1.564,0.8173,582.0
The Wolf and the Lion,2022-02-04,,160000.0,,,160000.0,160000.0,1.0,1.0,,1005.0
The Wolf of Snow Hollow,2020-10-09,,33237.0,38650.0,20056.0,91943.0,91943.0,2.7663,2.7663,0.5189,112.0
The Woman King,2022-09-16,,6818682.0,7121993.0,5110767.0,19051442.0,19051442.0,2.794,2.794,0.7176,3765.0
The Woman in the Yard,2025-03-28,,3669845.0,3525595.0,2199815.0,9395255.0,9395255.0,2.5601,2.5601,0.624,2842.0
The World to Come,2021-02-12,,12508.0,17262.0,20614.0,50384.0,50384.0,4.0281,4.0281,1.1942,277.0
The Worst Person in the World,2022-02-04,,54526.0,46010.0,37888.0,138424.0,138424.0,2.5387,2.5387,0.8235,4.0
The Wrath of Becky,2023-05-26,,54814.0,49842.0,42504.0,147160.0,147160.0,2.6847,2.6847,0.8528,274.0
The Wretched,2020-05-01,,26506.0,26797.0,12605.0,65908.0,65908.0,2.4865,2.4865,0.4704,12.0
The Year of the Everlasting Storm,2021-09-03,,1337.0,639.0,648.0,2624.0,2624.0,1.9626,1.9626,1.0141,3.0
The Yeti,2026-04-04,,31923.0,20766.0,,52689.0,52689.0,1.6505,1.6505,,144.0
The Youngest Evangelist And The Ministry Of Music,2021-11-19,,10500.0,10100.0,6700.0,27300.0,27300.0,2.6,2.6,0.6634,223.0
The Zone of Interest,2023-12-15,,58096.0,37469.0,34369.0,129934.0,129934.0,2.2365,2.2365,0.9173,4.0
Theater Camp,2023-07-14,,110336.0,96677.0,94207.0,301220.0,301220.0,2.73,2.73,0.9745,6.0
There’s Still Tomorrow,2025-02-28,,1268.0,1496.0,1172.0,3936.0,3936.0,3.1041,3.1041,0.7834,1.0
They Call Him OG,2025-09-25,3800000.0,570000.0,540000.0,290000.0,5200000.0,1400000.0,9.1228,2.4561,0.537,800.0
They Will Kill You,2026-03-27,,2260527.0,1610219.0,1100192.0,4970938.0,4970938.0,2.199,2.199,0.6833,2778.0
This Is Not a Test,2026-02-20,,60706.0,53000.0,29361.0,143067.0,143067.0,2.3567,2.3567,0.554,450.0
Thor: Love and Thunder,2022-07-08,,69554073.0,42112494.0,32498540.0,144165107.0,144165107.0,2.0727,2.0727,0.7717,4375.0
Three Christs,2020-01-10,,3927.0,6282.0,4411.0,14620.0,14620.0,3.7229,3.7229,0.7022,31.0
Three Minutes - A Lengthening,2022-08-19,,3769.0,2703.0,1590.0,8062.0,8062.0,2.139,2.139,0.5882,2.0
Three Thousand Years of Longing,2022-08-26,,1164348.0,1011464.0,743905.0,2919717.0,2919717.0,2.5076,2.5076,0.7355,2436.0
Thunderbolts*,2025-05-02,,31813091.0,24683098.0,17804419.0,74300608.0,74300608.0,2.3355,2.3355,0.7213,4330.0
Ticket to Paradise,2022-10-21,,6404995.0,6113530.0,3990570.0,16509095.0,16509095.0,2.5775,2.5775,0.6527,3543.0
Tiger 3,2023-11-11,,1008781.0,904265.0,520313.0,2433359.0,2433359.0,2.4122,2.4122,0.5754,779.0
Till,2022-10-14,,95583.0,83061.0,63625.0,242269.0,242269.0,2.5346,2.5346,0.766,16.0
Tim Travers & the Time Traveler’s Paradox,2025-05-30,,981.0,1140.0,604.0,2725.0,2725.0,2.7778,2.7778,0.5298,4.0
Time And Water,2026-05-29,,3284.0,2680.0,2084.0,8048.0,8048.0,2.4507,2.4507,0.7776,1.0
Titane,2021-10-01,,228086.0,170983.0,134328.0,533397.0,533397.0,2.3386,2.3386,0.7856,562.0
To the End,2022-12-09,,4593.0,3076.0,2025.0,9694.0,9694.0,2.1106,2.1106,0.6583,120.0
Together,2021-08-27,,35406.0,39379.0,25281.0,100066.0,100066.0,2.8262,2.8262,0.642,250.0
Together Together,2021-04-23,,182712.0,212925.0,137136.0,532773.0,532773.0,2.9159,2.9159,0.6441,665.0
Tokyo Cowboy,2024-08-30,,7449.0,9561.0,2519.0,19529.0,19529.0,2.6217,2.6217,0.2635,2.0
Tom and Jerry,2021-02-26,,4000000.0,,,4000000.0,4000000.0,1.0,1.0,,2475.0
Top Gun: Maverick,2022-05-27,,52012661.0,38017701.0,36677097.0,126707459.0,126707459.0,2.4361,2.4361,0.9647,4735.0
Tornado,2025-05-30,,62577.0,40601.0,35101.0,138279.0,138279.0,2.2097,2.2097,0.8645,412.0
Touch,2024-07-12,,147095.0,179810.0,119685.0,446590.0,446590.0,3.0361,3.0361,0.6656,316.0
Tow,2026-03-20,,45569.0,47026.0,34966.0,127561.0,127561.0,2.7993,2.7993,0.7435,180.0
Transformers One,2024-09-20,,9559726.0,9151714.0,5902530.0,24613970.0,24613970.0,2.5748,2.5748,0.645,3978.0
Transformers: Rise of the Beasts,2023-06-09,,25649418.0,19365981.0,16030065.0,61045464.0,61045464.0,2.38,2.38,0.8277,3678.0
Trap,2024-08-02,,6614368.0,5058581.0,3781197.0,15454146.0,15454146.0,2.3365,2.3365,0.7475,3181.0
Trapezium,2024-09-18,,32541.0,,,32541.0,32541.0,1.0,1.0,,103.0
Treasure,2024-06-14,,87927.0,92536.0,87599.0,268062.0,268062.0,3.0487,3.0487,0.9466,650.0
Triangle of Sadness,2022-10-07,,91700.0,68374.0,54528.0,214602.0,214602.0,2.3403,2.3403,0.7975,10.0
Triumph Over Evil: Battle of the Exorcists,2025-10-30,227674.0,,,,227674.0,,,,,612.0
Trolls Band Together,2023-11-17,,9397780.0,12333090.0,8271655.0,30002525.0,30002525.0,3.1925,3.1925,0.6707,3870.0
Tron: Ares,2025-10-10,,14405054.0,10923092.0,7913287.0,33241433.0,33241433.0,2.3076,2.3076,0.7245,4000.0
True History Of The Kelly Gang,2020-04-24,,3065.0,4868.0,1906.0,9839.0,9839.0,3.2101,3.2101,0.3915,5.0
True To The Game 3,2021-12-03,,200513.0,227806.0,144712.0,573031.0,573031.0,2.8578,2.8578,0.6352,440.0
Trust,2025-08-22,,104322.0,79176.0,57137.0,240635.0,240635.0,2.3067,2.3067,0.7216,432.0
Truth & Treason,2025-10-17,,1156866.0,859560.0,611314.0,2627740.0,2627740.0,2.2714,2.2714,0.7112,2106.0
Tu Jhoothi Main Makkaar,2023-03-08,,171909.0,130587.0,253377.0,555873.0,555873.0,3.2335,3.2335,1.9403,365.0
Tuesday,2024-06-07,,9910.0,9003.0,6752.0,25665.0,25665.0,2.5898,2.5898,0.75,2.0
Tulsa,2020-08-21,,28424.0,28662.0,21306.0,78392.0,78392.0,2.758,2.758,0.7434,191.0
Tuner,2026-05-22,,49996.0,28713.0,25711.0,104420.0,104420.0,2.0886,2.0886,0.8954,4.0
Turning Red,2024-02-09,,160433.0,276072.0,141542.0,578047.0,578047.0,3.603,3.603,0.5127,1560.0
Turno Nocturno,2025-04-18,,242.0,105.0,90.0,437.0,437.0,1.8058,1.8058,0.8571,3.0
Turnstile: Never Enough,2025-06-05,324146.0,,,,324146.0,,,,,338.0
Twenty One Pilots: Cinema Experience,2022-05-19,875000.0,,,,875000.0,,,,,763.0
Twiceborn,2020-10-16,,1414.0,1802.0,2001.0,5217.0,5217.0,3.6895,3.6895,1.1104,7.0
Twinless,2025-09-05,,175457.0,183549.0,147747.0,506753.0,506753.0,2.8882,2.8882,0.8049,568.0
Twisters,2024-07-19,,32139880.0,27516920.0,21594615.0,81251415.0,81251415.0,2.5281,2.5281,0.7848,4151.0
Two Tickets to Greece,2023-07-14,,1539.0,2723.0,2790.0,7052.0,7052.0,4.5822,4.5822,1.0246,16.0
Tyson’s Run,2022-03-11,,74700.0,88000.0,50100.0,212800.0,212800.0,2.8487,2.8487,0.5693,428.0
TÁR,2022-10-07,,65981.0,53185.0,39454.0,158620.0,158620.0,2.404,2.404,0.7418,4.0
UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,,180000.0,,,180000.0,180000.0,1.0,1.0,,350.0
UFC 281: Adesanya vs. Pereia,2022-11-12,,138000.0,,,138000.0,138000.0,1.0,1.0,,180.0
UFC 286,2023-03-18,,132634.0,,,132634.0,132634.0,1.0,1.0,,347.0
UFC 291: Poirier vs. Gaethje 2,2023-07-29,,308825.0,,,308825.0,308825.0,1.0,1.0,,347.0
UFC 311: Makhachev vs. Tsarukyan 2,2025-01-18,,334988.0,,,334988.0,334988.0,1.0,1.0,,440.0
UFC 316: Dvalishvili vs. O’Malley 2,2025-06-07,,265986.0,,,265986.0,265986.0,1.0,1.0,,439.0
UFC 319: du Plessis vs. Chimaev,2025-08-16,,478675.0,,,478675.0,478675.0,1.0,1.0,,472.0
Uma Musume: Pretty Derby — Beginning of a New Era,2026-02-27,,386396.0,303662.0,206235.0,896293.0,896293.0,2.3196,2.3196,0.6792,600.0
Umma,2022-03-18,,339301.0,352052.0,223937.0,915290.0,915290.0,2.6976,2.6976,0.6361,805.0
UnFavorable Odds,2022-09-09,,20374.0,22110.0,15500.0,57984.0,57984.0,2.846,2.846,0.701,445.0
Uncharted,2022-02-18,,15376642.0,16275559.0,12357954.0,44010155.0,44010155.0,2.8621,2.8621,0.7593,4275.0
Underwater,2020-01-10,,2497331.0,2767282.0,1743684.0,7008297.0,7008297.0,2.8063,2.8063,0.6301,2791.0
Undine,2021-06-04,,7601.0,11154.0,8310.0,27065.0,27065.0,3.5607,3.5607,0.745,56.0
Unhinged,2020-08-14,,230000.0,,,230000.0,230000.0,1.0,1.0,,299.0
Unholy Song,2025-02-28,,7105.0,9380.0,3860.0,20345.0,20345.0,2.8635,2.8635,0.4115,20.0
Unplugging,2022-04-22,,7000.0,8000.0,5500.0,20500.0,20500.0,2.9286,2.9286,0.6875,101.0
Unsubscribe,2020-06-10,,25488.0,,,25488.0,25488.0,1.0,1.0,,1.0
Unsung Hero,2024-04-26,,3623796.0,2332710.0,1775033.0,7731539.0,7731539.0,2.1335,2.1335,0.7609,2832.0
Until Dawn,2025-04-25,,3255906.0,2943837.0,1803659.0,8003402.0,8003402.0,2.4581,2.4581,0.6127,3055.0
Urchin,2025-10-10,,9233.0,17054.0,17138.0,43425.0,43425.0,4.7032,4.7032,1.0049,3.0
Valiant One,2025-01-31,,260198.0,291973.0,182928.0,735099.0,735099.0,2.8252,2.8252,0.6265,1275.0
Vanguard,2020-11-20,,127665.0,155111.0,97652.0,380428.0,380428.0,2.9799,2.9799,0.6296,1375.0
Veneciafrenia,2022-08-12,,154.0,169.0,173.0,496.0,496.0,3.2208,3.2208,1.0237,10.0
Vengeance,2022-07-29,,658425.0,631440.0,465460.0,1755325.0,1755325.0,2.6659,2.6659,0.7371,998.0
Venom: Let There be Carnage,2021-10-01,,37417184.0,31630397.0,20985629.0,90033210.0,90033210.0,2.4062,2.4062,0.6635,4225.0
Venom: The Last Dance,2024-10-25,,22023587.0,16820420.0,12168397.0,51012404.0,51012404.0,2.3163,2.3163,0.7234,4131.0
Venus,2023-03-31,,136.0,378.0,252.0,766.0,766.0,5.6324,5.6324,0.6667,10.0
"Veteran 2: I, The Executioner",2024-09-27,,36354.0,46171.0,40000.0,122525.0,122525.0,3.3703,3.3703,0.8663,51.0
Vettaiyan,2024-10-10,1100000.0,,,,1100000.0,,,,,0.0
Vindicating Trump,2024-09-27,,335881.0,249407.0,189586.0,774874.0,774874.0,2.307,2.307,0.7601,813.0
Violent Ends,2025-10-31,,52181.0,39234.0,26398.0,117813.0,117813.0,2.2578,2.2578,0.6728,700.0
Violent Night,2022-12-02,,4869770.0,5336925.0,3243545.0,13450240.0,13450240.0,2.762,2.762,0.6078,3682.0
Voyagers,2021-04-09,,518397.0,536045.0,325546.0,1379988.0,1379988.0,2.662,2.662,0.6073,1972.0
Waiting for Rain (비와 당신의 이야기),2021-04-30,,793.0,941.0,929.0,2663.0,2663.0,3.3581,3.3581,0.9872,14.0
Waitress: The Musical,2023-12-07,672105.0,1416231.0,1010851.0,1092444.0,4191631.0,3519526.0,2.9597,2.4851,1.0807,1214.0
Wake Up Dead Man: A Knives Out Mystery,2025-11-26,,600000.0,400000.0,600000.0,1600000.0,1600000.0,2.6667,2.6667,1.5,600.0
Waltair Veerayya,2023-01-13,,318000.0,,,318000.0,318000.0,1.0,1.0,,350.0
War 2,2025-08-14,1409230.0,578044.0,637204.0,462587.0,3087065.0,1677835.0,5.3405,2.9026,0.726,875.0
Warfare,2025-04-11,,3555000.0,2737350.0,2025639.0,8317989.0,8317989.0,2.3398,2.3398,0.74,2670.0
Watcher,2022-06-03,,303843.0,309870.0,213062.0,826775.0,826775.0,2.7211,2.7211,0.6876,764.0
Waterman,2022-04-01,,19199.0,24999.0,21555.0,65753.0,65753.0,3.4248,3.4248,0.8622,13.0
We Broke Up,2021-04-16,,3805.0,4720.0,2478.0,11003.0,11003.0,2.8917,2.8917,0.525,35.0
We Bury the Dead,2026-01-02,,1340103.0,694844.0,467128.0,2502075.0,2502075.0,1.8671,1.8671,0.6723,1172.0
We Live in Time,2024-10-11,,101652.0,71005.0,59958.0,232615.0,232615.0,2.2883,2.2883,0.8444,5.0
We Need to Do Something,2021-09-03,,1979.0,2035.0,1995.0,6009.0,6009.0,3.0364,3.0364,0.9803,27.0
Weak Layers,2024-01-05,,15547.0,14293.0,10961.0,40801.0,40801.0,2.6244,2.6244,0.7669,65.0
Weapons,2025-08-08,,18170479.0,14010307.0,11320431.0,43501217.0,43501217.0,2.3941,2.3941,0.808,3202.0
Weathering With You,2020-01-15,,1594427.0,1451823.0,578982.0,3625232.0,3625232.0,2.2737,2.2737,0.3988,1020.0
Weekend in Taipei,2024-11-08,,141248.0,142981.0,95828.0,380057.0,380057.0,2.6907,2.6907,0.6702,1031.0
Wendy,2020-02-28,,9754.0,11670.0,4790.0,26214.0,26214.0,2.6875,2.6875,0.4105,4.0
Werewolves,2024-12-06,,410307.0,383272.0,259419.0,1052998.0,1052998.0,2.5664,2.5664,0.6769,1351.0
Werewolves Within,2021-06-25,,93879.0,91482.0,65450.0,250811.0,250811.0,2.6716,2.6716,0.7154,270.0
West Side Story,2021-12-10,,4133219.0,3759798.0,2681601.0,10574618.0,10574618.0,2.5584,2.5584,0.7132,2820.0
What Happens Later,2023-11-03,,601372.0,566252.0,355126.0,1522750.0,1522750.0,2.5321,2.5321,0.6272,1492.0
What We Found,2020-07-31,,585.0,1160.0,975.0,2720.0,2720.0,4.6496,4.6496,0.8405,8.0
When Evil Lurks,2023-10-06,,69172.0,76608.0,59972.0,205752.0,205752.0,2.9745,2.9745,0.7828,659.0
When I’m Ready,2025-02-07,,3976.0,3484.0,760.0,8220.0,8220.0,2.0674,2.0674,0.2181,8.0
When You Finish Saving the World,2023-01-20,,45942.0,52793.0,34658.0,133393.0,133393.0,2.9035,2.9035,0.6565,403.0
Where the Crawdads Sing,2022-07-15,,7264581.0,5353712.0,4634934.0,17253227.0,17253227.0,2.375,2.375,0.8657,3650.0
Whistle,2026-02-06,,346436.0,254491.0,104153.0,705080.0,705080.0,2.0352,2.0352,0.4093,1200.0
White Bird: A Wonder Story,2024-10-04,,687007.0,510307.0,360579.0,1557893.0,1557893.0,2.2677,2.2677,0.7066,1018.0
White as Snow,2021-08-13,,378.0,355.0,265.0,998.0,998.0,2.6402,2.6402,0.7465,1.0
Whitney Houston I Wanna Dance With Somebody,2022-12-23,,1979797.0,817263.0,1903390.0,4700450.0,4700450.0,2.3742,2.3742,2.329,3625.0
Who You Think I Am,2021-09-03,,2584.0,4657.0,3982.0,11223.0,11223.0,4.3433,4.3433,0.8551,15.0
Wicked,2024-11-22,,46210430.0,35492555.0,30805905.0,112508890.0,112508890.0,2.4347,2.4347,0.868,3888.0
Wicked: For Good,2025-11-21,,69117615.0,43415440.0,34471585.0,147004640.0,147004640.0,2.1269,2.1269,0.794,4115.0
Widow Clicquot,2024-07-19,,69264.0,65706.0,50561.0,185531.0,185531.0,2.6786,2.6786,0.7695,102.0
Wild Life,2023-04-14,,16571.0,23447.0,7595.0,47613.0,47613.0,2.8733,2.8733,0.3239,2.0
Wild Mountain Thyme,2020-12-11,,37030.0,36623.0,21336.0,94989.0,94989.0,2.5652,2.5652,0.5826,450.0
William Shatner: You Can Call Me Bill,2024-03-22,,179988.0,141827.0,122800.0,444615.0,444615.0,2.4702,2.4702,0.8658,285.0
William Tell,2025-04-04,,8771.0,8725.0,9059.0,26555.0,26555.0,3.0276,3.0276,1.0383,111.0
Winnie-The-Pooh: Blood and Honey,2023-02-15,,760954.0,78304.0,202476.0,1041734.0,1041734.0,1.369,1.369,2.5858,1652.0
Winnie-the-Pooh: Blood and Honey 2,2024-03-26,,203769.0,155365.0,174010.0,533144.0,533144.0,2.6164,2.6164,1.12,1481.0
Wisdom of Happiness,2025-10-17,,43900.0,6386.0,7729.0,58015.0,58015.0,1.3215,1.3215,1.2103,1.0
Wish,2023-11-22,,8117419.0,3793693.0,8095589.0,20006701.0,20006701.0,2.4647,2.4647,2.134,3900.0
Witchboard,2025-08-15,,74000.0,68000.0,55000.0,197000.0,197000.0,2.6622,2.6622,0.8088,580.0
Witnesses,2021-06-04,,72670.0,54896.0,6924.0,134490.0,134490.0,1.8507,1.8507,0.1261,84.0
Wolf,2021-12-03,,38095.0,25530.0,19015.0,82640.0,82640.0,2.1693,2.1693,0.7448,308.0
Wolf Man,2025-01-17,,4397315.0,3693235.0,2806945.0,10897495.0,10897495.0,2.4782,2.4782,0.76,3354.0
Women Talking,2022-12-23,,15650.0,8210.0,16670.0,40530.0,40530.0,2.5898,2.5898,2.0305,8.0
Women in Christ,2025-09-12,,7648.0,7478.0,182.0,15308.0,15308.0,2.0016,2.0016,0.0243,13.0
Wonka,2023-12-15,,14412706.0,14025741.0,10567353.0,39005800.0,39005800.0,2.7063,2.7063,0.7534,4203.0
Words on Bathroom Walls,2020-08-21,,148288.0,174743.0,109937.0,432968.0,432968.0,2.9198,2.9198,0.6291,924.0
Wrath of Man,2021-05-07,,2972375.0,3003411.0,2333221.0,8309007.0,8309007.0,2.7954,2.7954,0.7769,2875.0
X,2022-03-18,,1776300.0,1512450.0,986376.0,4275126.0,4275126.0,2.4068,2.4068,0.6522,2865.0
Y Como Es El,2022-04-22,,213967.0,205777.0,204633.0,624377.0,624377.0,2.9181,2.9181,0.9944,325.0
Y2K,2024-12-06,,923110.0,692333.0,498480.0,2113923.0,2113923.0,2.29,2.29,0.72,2108.0
YOLO,2024-03-08,,312820.0,294495.0,220317.0,827632.0,827632.0,2.6457,2.6457,0.7481,200.0
Yashoda,2022-11-11,,137000.0,,,137000.0,137000.0,1.0,1.0,,200.0
Yellow Rose,2020-10-08,19838.0,46249.0,63417.0,40664.0,170168.0,150330.0,3.6794,3.2504,0.6412,900.0
Yo no soy ésa,2025-04-11,,149.0,190.0,143.0,482.0,482.0,3.2349,3.2349,0.7526,10.0
You Hurt My Feelings,2023-05-26,,474240.0,482448.0,439760.0,1396448.0,1396448.0,2.9446,2.9446,0.9115,912.0
You Won’t Be Alone,2022-04-01,,44295.0,47290.0,33165.0,124750.0,124750.0,2.8163,2.8163,0.7013,147.0
"You, Me & Tuscany",2026-04-10,,3157140.0,2837785.0,1758225.0,7753150.0,7753150.0,2.4558,2.4558,0.6196,3151.0
Your Monster,2024-10-25,,365155.0,87564.0,70239.0,522958.0,522958.0,1.4322,1.4322,0.8021,651.0
Zola,2021-06-30,,504992.0,292260.0,454008.0,1251260.0,1251260.0,2.4778,2.4778,1.5534,1468.0
Zombie Land Saga: Yumeginga Paradise,2026-01-19,,87333.0,,,87333.0,87333.0,1.0,1.0,,274.0
Zootopia 2,2025-11-26,,38497734.0,20043787.0,39060332.0,97601853.0,97601853.0,2.5353,2.5353,1.9488,4000.0
given The Double Album: Hiiragi mix & To the Sea Double Feature,2025-06-16,,88988.0,,,88988.0,88988.0,1.0,1.0,,222.0
iMordecai,2023-02-10,,4039.0,3420.0,3186.0,10645.0,10645.0,2.6356,2.6356,0.9316,2.0
jackass forever,2022-02-04,,9612731.0,8393074.0,5148583.0,23154388.0,23154388.0,2.4087,2.4087,0.6134,3604.0
undertone,2026-03-13,,4374140.0,2886932.0,1808777.0,9069849.0,9069849.0,2.0735,2.0735,0.6265,2570.0
¡Que viva México!,2023-03-24,,23047.0,27104.0,29567.0,79718.0,79718.0,3.4589,3.4589,1.0909,90.0
“Wuthering Heights”,2026-02-13,,10800619.0,14000897.0,8000131.0,32801647.0,32801647.0,3.037,3.037,0.5714,3682.0
