title,opening_date,thu_preview,fri,sat,sun,weekend_total,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_sun_ratio,opening_theaters
The Souvenir Part II,2021-10-29,,10436.0,9171.0,6878.0,26485.0,26485.0,2.5378,2.5378,0.75,3.0
The Sparks Brothers,2021-06-18,,107225.0,89650.0,76655.0,273530.0,273530.0,2.551,2.551,0.855,534.0
The SpongeBob Movie: Search for Squarepants,2025-12-19,,6003950.0,5303890.0,4303504.0,15611344.0,15611344.0,2.6002,2.6002,0.8114,3557.0
The SpongeBob Movie: Sponge on the Run,2020-08-14,,338084.0,295755.0,231985.0,865824.0,865824.0,2.561,2.561,0.7844,300.0
The Starling Girl,2023-05-12,,15261.0,5743.0,2839.0,23843.0,23843.0,1.5623,1.5623,0.4943,4.0
The Storied Life of A.J. Fikry,2022-10-07,,44000.0,44000.0,33000.0,121000.0,121000.0,2.75,2.75,0.75,332.0
The Story of Everything,2026-04-30,220109.0,214901.0,334737.0,343708.0,1113455.0,893346.0,5.1812,4.157,1.0268,513.0
The Strangers: Chapter 1,2024-05-17,,5098780.0,4069567.0,2656711.0,11825058.0,11825058.0,2.3192,2.3192,0.6528,2856.0
The Strangers: Chapter 2,2025-09-26,,2395262.0,2121602.0,1289328.0,5806192.0,5806192.0,2.424,2.424,0.6077,2690.0
The Strangers: Chapter 3,2026-02-06,,1590421.0,1395006.0,487127.0,3472554.0,3472554.0,2.1834,2.1834,0.3492,2565.0
The Substance,2024-09-20,,1331864.0,1041735.0,831613.0,3205212.0,3205212.0,2.4066,2.4066,0.7983,1949.0
The Suicide Squad,2021-08-06,,12150000.0,,,12150000.0,12150000.0,1.0,1.0,,4002.0
The Super Mario Bros. Movie,2023-04-05,,31702735.0,26566130.0,54804460.0,113073325.0,113073325.0,3.5667,3.5667,2.0629,4025.0
The Super Mario Galaxy Movie,2026-04-01,,34502265.0,24611190.0,48401505.0,107514960.0,107514960.0,3.1162,3.1162,1.9666,3821.0
The Surfer,2025-05-02,,323615.0,206629.0,167870.0,698114.0,698114.0,2.1572,2.1572,0.8124,884.0
The Tale of Silyan,2025-11-28,,2682.0,2541.0,1032.0,6255.0,6255.0,2.3322,2.3322,0.4061,1.0
The Tax Collector,2020-08-07,,115000.0,,,115000.0,115000.0,1.0,1.0,,129.0
The Teacher’s Lounge,2023-12-25,,6332.0,3483.0,3269.0,13084.0,13084.0,2.0663,2.0663,0.9386,3.0
The Territory,2022-08-19,,9198.0,9883.0,7135.0,26216.0,26216.0,2.8502,2.8502,0.7219,7.0
The Testament of Ann Lee,2025-12-25,39552.0,22212.0,25841.0,26743.0,114348.0,74796.0,5.148,3.3674,1.0349,4.0
The Thing with Feathers,2025-11-28,,44683.0,34852.0,30669.0,110204.0,110204.0,2.4664,2.4664,0.88,400.0
The Threesome,2025-09-05,,476854.0,63539.0,50239.0,590632.0,590632.0,1.2386,1.2386,0.7907,402.0
The Times of Bill Cunningham,2020-02-14,,13578.0,15331.0,13036.0,41945.0,41945.0,3.0892,3.0892,0.8503,2.0
The Toxic Avenger Unrated,2025-08-29,,754578.0,505573.0,474208.0,1734359.0,1734359.0,2.2984,2.2984,0.938,1995.0
The Trip to Greece,2020-05-22,,496.0,308.0,306.0,1110.0,1110.0,2.2379,2.2379,0.9935,3.0
The Truth,2020-07-03,,855.0,654.0,691.0,2200.0,2200.0,2.5731,2.5731,1.0566,10.0
The Turning,2020-01-24,,2519605.0,2910120.0,1520320.0,6950045.0,6950045.0,2.7584,2.7584,0.5224,2571.0
The Ugly Stepsister,2025-04-18,,89127.0,49998.0,35805.0,174930.0,174930.0,1.9627,1.9627,0.7161,501.0
The Unbearable Weight of Massive Talent,2022-04-22,,2901370.0,2520014.0,1710319.0,7131703.0,7131703.0,2.458,2.458,0.6787,3036.0
The Unbreakable Boy,2025-02-21,,888666.0,934476.0,562899.0,2386041.0,2386041.0,2.685,2.685,0.6024,1687.0
The Unholy,2021-04-02,,1221214.0,1202075.0,730167.0,3153456.0,3153456.0,2.5822,2.5822,0.6074,1850.0
The Unholy Trinity,2025-06-13,,194570.0,177338.0,200054.0,571962.0,571962.0,2.9396,2.9396,1.1281,771.0
The Vigil,2021-02-26,,7806.0,10832.0,4544.0,23182.0,23182.0,2.9698,2.9698,0.4195,55.0
The Violent Heart,2021-02-19,,3984.0,6000.0,3822.0,13806.0,13806.0,3.4654,3.4654,0.637,93.0
The War with Grandpa,2020-10-09,,1102100.0,1563319.0,958461.0,3623880.0,3623880.0,3.2882,3.2882,0.6131,2250.0
The Wasp,2024-08-30,,6013.0,6950.0,7155.0,20118.0,20118.0,3.3458,3.3458,1.0295,98.0
The Watchers,2024-06-07,,2903381.0,2361744.0,1738412.0,7003537.0,7003537.0,2.4122,2.4122,0.7361,3351.0
