title,year,numbers_slug,thu_preview,fri,sat,sun,weekend_total_daily,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_remaining_mult,opening_rank,opening_theaters,per_theater
One Battle After Another,2025,One-Battle-After-Another-(2025),3100000.0,9000232.0,7850050.0,5150105.0,25100387.0,22000387.0,2.7889,2.4444,1.6561,1,3634.0,2477.0
Now You See Me: Now You Don't,2025,Now-You-See-Me-Now-You-Dont-(2025),2100000.0,8387146.0,7697023.0,4929624.0,23113793.0,21013793.0,2.7559,2.5055,1.6405,1,3403.0,2465.0
The Accountant 2,2025,The-Accountant-2-(2025),,,,,,,,,,,,
David,2025,David-(2025),1800000.0,9662302.0,6705020.0,5633232.0,23800554.0,22000554.0,2.4632,2.2769,1.8402,2,3118.0,3099.0
The King of Kings,2025,The-King-of-Kings-(2025),,,,,,,,,,,,
Ballerina,2025,Ballerina-(2025),,,,,,,,,,,,
Moana 2,2025,Moana-2-(2025),,,,,,,,,,,,
The Housemaid,2025,The-Housemaid-(2025),,,,,,,,,,,,
Karate Kid: Legends,2025,Karate-Kid-Legends-(2025),2300000.0,7498958.0,7417232.0,5385826.0,22602016.0,20302016.0,3.014,2.7073,1.7261,3,3809.0,1969.0
The Naked Gun,2025,The-Naked-Gun-(2025),,,,,,,,,,,,
One of Them Days,2025,One-of-Them-Days-(2025),1300000.0,4480348.0,4055650.0,3271733.0,13107731.0,11807731.0,2.9256,2.6354,1.8067,1,2675.0,1675.0
Regretting You,2025,Regretting-You-(2025),,5271851.0,4611320.0,3804359.0,13687530.0,13687530.0,2.5963,2.5963,1.825,2,3393.0,1554.0
Nosferatu,2025,Nosferatu-(2025),,,,,,,,,,,,
Mickey 17,2025,Mickey-17-(2025),2500000.0,7726710.0,6702116.0,4574026.0,21502852.0,19002852.0,2.7829,2.4594,1.6825,1,3807.0,2030.0
A Complete Unknown,2025,A-Complete-Unknown-(2025),,,,,,,,,,,,
The SpongeBob Movie: Search for SquarePants,2025,The-SpongeBob-Movie-Search-for-SquarePants-(2025),,,,,,,,,,,,
Paddington in Peru,2025,Paddington-in-Peru-(2025),,,,,,,,,,,,
Marty Supreme,2025,Marty-Supreme-(2025),,384438.0,265145.0,225417.0,875000.0,875000.0,2.276,2.276,1.8502,-,6.0,64073.0
Chainsaw Man - The Movie: Reze Arc,2025,Chainsaw-Man-The-Movie-Reze-Arc-(2025),,,,,,,,,,,,
Downton Abbey: The Grand Finale,2025,Downton-Abbey-The-Grand-Finale-(2025),,,,,,,,,,,,
Wicked,2025,Wicked-(2025),,,,,,,,,,,,
The Amateur,2025,The-Amateur-(2025),,,,,,,,,,,,
Materialists,2025,Materialists-(2025),1500000.0,5116356.0,3867454.0,2354832.0,12838642.0,11338642.0,2.5093,2.2162,1.6089,2,2844.0,1799.0
The Monkey,2025,The-Monkey-(2025),,,,,,,,,,,,
The Running Man,2025,The-Running-Man-(2025),,,,,,,,,,,,
A Working Man,2025,A-Working-Man-(2025),,,,,,,,,,,,
Den of Thieves: Pantera,2025,Den-of-Thieves-Pantera-(2025),,,,,,,,,,,,
Taylor Swift: The Official Release Party of a Showgirl,2025,Taylor-Swift-The-Official-Release-Party-of-a-Showgirl-(2025),,15805534.0,9922644.0,8334596.0,34062774.0,34062774.0,2.1551,2.1551,1.84,1,4269.0,15805534.0
The Long Walk,2025,The-Long-Walk-(2025),,,,,,,,,,,,
Star Wars: Episode III - Revenge of the Sith,2025,Star-Wars-Episode-III-Revenge-of-the-Sith-(2025),,,,,,,,,,,,
I Know What You Did Last Summer,2025,I-Know-What-You-Did-Last-Summer-(2025),2200000.0,5810772.0,3917100.0,3027487.0,14955359.0,12755359.0,2.5737,2.1951,1.7729,3,3206.0,1812.0
Gabby's Dollhouse: The Movie,2025,Gabbys-Dollhouse-The-Movie-(2025),,4380530.0,5537925.0,3779140.0,13697595.0,13697595.0,3.1269,3.1269,1.6824,2,3500.0,1252.0
Anaconda,2025,Anaconda-(2025),2100000.0,9053879.0,5455901.0,5231547.0,21841327.0,19741327.0,2.4124,2.1804,1.9589,3,3509.0,2580.0
Smurfs,2025,Smurfs-(2025),,4002383.0,3950796.0,3121911.0,11075090.0,11075090.0,2.7671,2.7671,1.7902,4,3504.0,1142.0
Flight Risk,2025,Flight-Risk-(2025),950000.0,4376398.0,4963315.0,2243775.0,12533488.0,11583488.0,2.8639,2.6468,1.4521,1,3161.0,1384.0
Warfare,2025,Warfare-(2025),1160000.0,3555000.0,2737350.0,2025639.0,9477989.0,8317989.0,2.6661,2.3398,1.74,4,2670.0,1331.0
Heart Eyes,2025,Heart-Eyes-(2025),,,,,,,,,,,,
Him,2025,Him-(2025),2000000.0,6486440.0,4334060.0,2431060.0,15251560.0,13251560.0,2.3513,2.043,1.5609,1,3168.0,2047.0
KPop Demon Hunters,2025,KPop-Demon-Hunters-(2025),,10100000.0,9100000.0,,,,,,,1,5941.0,10100000.0
Roofman,2025,Roofman-(2025),1000000.0,3239831.0,2827611.0,2041419.0,9108861.0,8108861.0,2.8115,2.5029,1.722,2,3362.0,964.0
M3GAN 2.0,2025,M3GAN-20-(2025),,,,,,,,,,,,
Ne Zha 2,2025,Ne-Zha-2-(2025),,,,,,,,,,,,
Springsteen: Deliver Me from Nowhere,2025,Springsteen-Deliver-Me-from-Nowhere-(2025),850000.0,3612407.0,3153214.0,2121634.0,9737255.0,8887255.0,2.6955,2.4602,1.6728,4,3460.0,1044.0
Nobody 2,2025,Nobody-2-(2025),1300000.0,3869645.0,3113695.0,2267850.0,10551190.0,9251190.0,2.7267,2.3907,1.7283,3,3260.0,1187.0
Black Bag,2025,Black-Bag-(2025),850000.0,2782565.0,2940735.0,1883950.0,8457250.0,7607250.0,3.0394,2.7339,1.6406,2,2705.0,1029.0
Death of a Unicorn,2025,Death-of-a-Unicorn-(2025),700000.0,2272250.0,2067750.0,1447425.0,6487425.0,5787425.0,2.8551,2.547,1.7,5,3050.0,745.0
The Woman in the Yard,2025,The-Woman-in-the-Yard-(2025),,,,,,,,,,,,
Together,2025,Together-(2025),1300000.0,2668751.0,1387751.0,2215170.0,7571672.0,6271672.0,2.8372,2.35,2.5962,3,2100.0,1271.0
Companion,2025,Companion-(2025),1100000.0,4050659.0,3199373.0,2050081.0,10400113.0,9300113.0,2.5675,2.296,1.6408,2,3285.0,1233.0
Wolf Man,2025,Wolf-Man-(2025),1400000.0,4397315.0,3693235.0,2806945.0,12297495.0,10897495.0,2.7966,2.4782,1.76,2,3354.0,1311.0
Until Dawn,2025,Until-Dawn-(2025),1000000.0,3255906.0,2943837.0,1803659.0,9003402.0,8003402.0,2.7653,2.4581,1.6127,5,3055.0,1066.0
The Chosen: Last Supper,2025,The-Chosen-Last-Supper-(2025),,,,,,,,,,,,
Last Breath,2025,Last-Breath-(2025),,,,,,,,,,,,
Novocaine,2025,Novocaine-(2025),1750000.0,3916495.0,2889782.0,2003159.0,10559436.0,8809436.0,2.6961,2.2493,1.6932,1,3365.0,1164.0
Bring Her Back,2025,Bring-Her-Back-(2025),850000.0,3143350.0,2263305.0,1674846.0,7931501.0,7081501.0,2.5233,2.2529,1.74,5,2449.0,1284.0
The Phoenician Scheme,2025,The-Phoenician-Scheme-(2025),,,,,,,,,,,,
Caught Stealing,2025,Caught-Stealing-(2025),1200000.0,3221978.0,2275294.0,2306653.0,9003925.0,7803925.0,2.7945,2.4221,2.0138,1,3578.0,900.0
Bugonia,2025,Bugonia-(2025),,323711.0,215472.0,170665.0,709848.0,709848.0,2.1928,2.1928,1.7921,-,17.0,19042.0
Babygirl,2025,Babygirl-(2025),,,,,,,,,,,,
Song Sung Blue,2025,Song-Sung-Blue-(2025),,4425455.0,2686395.0,2545445.0,9657295.0,9657295.0,2.1822,2.1822,1.9475,6,2578.0,1717.0
Drop,2025,Drop-(2025),730000.0,3334985.0,2545415.0,1516615.0,8127015.0,7397015.0,2.4369,2.218,1.5958,5,3085.0,1081.0
Hamilton,2025,Hamilton-(2025),,,,,,,,,,,,
Good Fortune,2025,Good-Fortune-(2025),725000.0,2441537.0,2209292.0,1512604.0,6888433.0,6163433.0,2.8214,2.5244,1.6847,3,2990.0,817.0
Jujutsu Kaisen: Execution,2025,Jujutsu-Kaisen-Execution-(2025),,,,,,,,,,,,
Friendship,2025,Friendship-(2025),,227367.0,124743.0,99794.0,451904.0,451904.0,1.9876,1.9876,1.8,10,6.0,37895.0
Eternity,2025,Eternity-(2025),,1450535.0,616272.0,1137712.0,3204519.0,3204519.0,2.2092,2.2092,2.8461,3,1348.0,1076.0
Love Hurts,2025,Love-Hurts-(2025),850000.0,2624540.0,2289050.0,886850.0,6650440.0,5800440.0,2.5339,2.2101,1.3874,3,3055.0,859.0
The Brutalist,2025,The-Brutalist-(2025),,,,,,,,,,,,
Nuremberg,2025,Nuremberg-(2025),210000.0,1460249.0,1437161.0,985884.0,4093294.0,3883294.0,2.8031,2.6593,1.686,5,1802.0,810.0
The Roses,2025,The-Roses-(2025),,,,,,,,,,,,
The Strangers: Chapter 2,2025,The-Strangers-Chapter-2-(2025),,,,,,,,,,,,
The Last Rodeo,2025,The-Last-Rodeo-(2025),,,,,,,,,,,,
Jaws,2025,Jaws-(2025),,,,,,,,,,,,
Sarah's Oil,2025,Sarahs-Oil-(2025),460000.0,1742593.0,1512371.0,1006482.0,4721446.0,4261446.0,2.7094,2.4455,1.6655,3,2410.0,723.0
The Chosen: Last Supper Part 2,2025,The-Chosen-Last-Supper-Part-2-(2025),,,,,,,,,,,,
The Chosen: Last Supper Part 3,2025,The-Chosen-Last-Supper-Part-3-(2025),,,,,,,,,,,,
The Smashing Machine,2025,The-Smashing-Machine-(2025),,,,,,,,,,,,
Becoming Led Zeppelin,2025,Becoming-Led-Zeppelin-(2025),,1293696.0,987597.0,297217.0,2578510.0,2578510.0,1.9931,1.9931,1.3009,4,369.0,3506.0
Eddington,2025,Eddington-(2025),625000.0,1883012.0,1355769.0,1165961.0,5029742.0,4404742.0,2.6711,2.3392,1.86,6,2111.0,892.0
Hamnet,2025,Hamnet-(2025),,,,,,,,,,,,
Rental Family,2025,Rental-Family-(2025),,1212569.0,1242649.0,880929.0,3336147.0,3336147.0,2.7513,2.7513,1.7089,5,1925.0,630.0
The Day the Earth Blew Up: A Looney Tunes Movie,2025,The-Day-the-Earth-Blew-Up-A-Looney-Tunes-Movie-(2025),,,,,,,,,,,,
Sketch,2025,Sketch-(2025),,1959084.0,532322.0,793718.0,3285124.0,3285124.0,1.6769,1.6769,2.491,3,2006.0,977.0
Soul on Fire,2025,Soul-on-Fire-(2025),575000.0,1260775.0,866404.0,699013.0,3401192.0,2826192.0,2.6977,2.2416,1.8068,4,1720.0,733.0
Back to the Future,2025,Back-to-the-Future-(2025),,,,,,,,,,,,
Gladiator II,2025,Gladiator-II-(2025),,,,,,,,,,,,
Presence,2025,Presence-(2025),385000.0,1388230.0,1235525.0,704249.0,3713004.0,3328004.0,2.6746,2.3973,1.57,4,1750.0,793.0
Clown in a Cornfield,2025,Clown-in-a-Cornfield-(2025),600000.0,1687881.0,1209789.0,751321.0,4248991.0,3648991.0,2.5174,2.1619,1.621,4,2277.0,741.0
Princess Mononoke,2025,Princess-Mononoke-(2025),,,,,,,,,,,,
Homestead,2025,Homestead-(2025),,,,,,,,,,,,
A Big Bold Beautiful Journey,2025,A-Big-Bold-Beautiful-Journey-(2025),,,,,,,,,,,,
The Life of Chuck,2025,The-Life-of-Chuck-(2025),,,,,,,,,,,,
Toy Story,2025,Toy-Story-(2025),,161000.0,233000.0,111000.0,505000.0,505000.0,3.1366,3.1366,1.4764,-,2102.0,77.0
Good Boy,2025,Good-Boy-(2025),,975250.0,787225.0,581219.0,2343694.0,2343694.0,2.4032,2.4032,1.7383,7,1650.0,591.0
The Last Supper,2025,The-Last-Supper-(2025),,,,,,,,,,,,
Anora,2025,Anora-(2025),,,,,,,,,,,,
The Unbreakable Boy,2025,The-Unbreakable-Boy-(2025),,,,,,,,,,,,
I'm Still Here,2025,Im-Still-Here-(2025),,,,,,,,,,,,
Pride & Prejudice,2025,Pride-and-Prejudice-(2025),,3224.0,6348.0,,,,,,,57,6.0,537.0
Truth & Treason,2025,Truth-and-Treason-(2025),,1156866.0,859560.0,611314.0,2627740.0,2627740.0,2.2714,2.2714,1.7112,4,2106.0,549.0
Honey Don't!,2025,Honey-Dont-(2025),525000.0,1447125.0,919315.0,659085.0,3550525.0,3025525.0,2.4535,2.0907,1.7169,4,1317.0,1099.0
Kill Bill: The Whole Bloody Affair,2025,Kill-Bill-The-Whole-Bloody-Affair-(2025),,1479680.0,1071845.0,878364.0,3429889.0,3429889.0,2.318,2.318,1.8195,5,1198.0,1235.0
The Alto Knights,2025,The-Alto-Knights-(2025),,,,,,,,,,,,
Dan Da Dan: Evil Eye,2025,Dan-Da-Dan-Evil-Eye-(2025),,,,,,,,,,,,
Die My Love,2025,Die-My-Love-(2025),,1050349.0,925182.0,639129.0,2614660.0,2614660.0,2.4893,2.4893,1.6908,7,1983.0,530.0
Hurry Up Tomorrow,2025,Hurry-Up-Tomorrow-(2025),1650000.0,2334959.0,575745.0,401988.0,4962692.0,3312692.0,2.1254,1.4187,1.6982,4,2020.0,1156.0
Light of the World,2025,Light-of-the-World-(2025),,705747.0,968854.0,726773.0,2401374.0,2401374.0,3.4026,3.4026,1.7501,7,2075.0,340.0
The Senior,2025,The-Senior-(2025),,,,,,,,,,,,
Sisu: Road to Revenge,2025,Sisu-Road-to-Revenge-(2025),575000.0,1148587.0,739594.0,520309.0,2983490.0,2408490.0,2.5975,2.0969,1.7035,6,2222.0,517.0
Brave the Dark,2025,Brave-the-Dark-(2025),200000.0,930479.0,899221.0,458435.0,2488135.0,2288135.0,2.674,2.4591,1.5098,6,2230.0,417.0
Shelby Oaks,2025,Shelby-Oaks-(2025),515000.0,1156890.0,694134.0,495894.0,2861918.0,2346918.0,2.4738,2.0286,1.7144,6,1823.0,635.0
The Last Showgirl,2025,The-Last-Showgirl-(2025),,,,,,,,,,,,
Stitch Head,2025,Stitch-Head-(2025),,,,,,,,,,,,
Keeper,2025,Keeper-(2025),275000.0,1124689.0,866011.0,536927.0,2802627.0,2527627.0,2.4919,2.2474,1.62,5,1950.0,577.0
Ella McCay,2025,Ella-McCay-(2025),,870614.0,710071.0,439856.0,2020541.0,2020541.0,2.3208,2.3208,1.6195,4,2500.0,348.0
Avatar: The Way of Water,2025,Avatar-The-Way-of-Water-(2025),,,,,,,,,,,,
Shadow Force,2025,Shadow-Force-(2025),200000.0,726503.0,737237.0,688114.0,2351854.0,2151854.0,3.2372,2.9619,1.9334,7,2170.0,335.0
Shin Godzilla,2025,Shin-Godzilla-(2025),,,,,,,,,,,,
The Friend,2025,The-Friend-(2025),,,,,,,,,,,,
Colorful Stage! The Movie: A Miku Who Can't Sing,2025,Colorful-Stage-The-Movie-A-Miku-Who-Cant-Sing-(2025),,,,,,,,,,,,
Sentimental Value,2025,Sentimental-Value-(2025),,,,,,,,,,,,
Fight or Flight,2025,Fight-or-Flight-(2025),550000.0,1000730.0,545417.0,455934.0,2552081.0,2002081.0,2.5502,2.0006,1.8359,6,2153.0,465.0
Chhaava,2025,Chhaava-(2025),,,,,,,,,,,,
Dhurandhar,2025,Dhurandhar-(2025),,,,,,,,,,,,
After the Hunt,2025,After-the-Hunt-(2025),,89350.0,38359.0,30970.0,158679.0,158679.0,1.7759,1.7759,1.8074,-,6.0,14892.0
Hell of a Summer,2025,Hell-of-a-Summer-(2025),215000.0,728726.0,618271.0,418817.0,1980814.0,1765814.0,2.7182,2.4232,1.6774,7,1255.0,581.0
The Penguin Lessons,2025,The-Penguin-Lessons-(2025),,,,,,,,,,,,
2025 Oscar Nominated Short Films: Live Action,2025,2025-Oscar-Nominated-Short-Films-Live-Action-(2025),,,,,,,,,,,,
Relay,2025,Relay-(2025),,1017510.0,506148.0,393029.0,1916687.0,1916687.0,1.8837,1.8837,1.7765,7,1483.0,686.0
Jujutsu Kaisen: Hidden Inventory / Premature Death - The Movie,2025,Jujutsu-Kaisen-Hidden-Inventory-/-Premature-Death-The-Movie-(2025),,,,,,,,,,,,
Kraven the Hunter,2025,Kraven-the-Hunter-(2025),,,,,,,,,,,,
War 2,2025,War-2-(2025),,,,,,,,,,,,
The Fire Inside,2025,The-Fire-Inside-(2025),,,,,,,,,,,,
How the Grinch Stole Christmas,2025,How-the-Grinch-Stole-Christmas-(2025),,,,,,,,,,,,
Rule Breakers,2025,Rule-Breakers-(2025),,605044.0,543053.0,355729.0,1503826.0,1503826.0,2.4855,2.4855,1.6551,7,2044.0,296.0
Attack on Titan: The Last Attack,2025,Attack-on-Titan-The-Last-Attack-(2025),,,,,,,,,,,,
The Toxic Avenger,2025,The-Toxic-Avenger-(2025),,,,,,,,,,,,
Dangerous Animals,2025,Dangerous-Animals-(2025),,,,,,,,,,,,
Nickel Boys,2025,Nickel-Boys-(2025),,,,,,,,,,,,
Pink Floyd: Live at Pompeii,2025,Pink-Floyd-Live-at-Pompeii-(2025),,,,,,,,,,,,
Eleanor the Great,2025,Eleanor-the-Great-(2025),,430013.0,265564.0,199110.0,894687.0,894687.0,2.0806,2.0806,1.7498,-,892.0,482.0
Spinal Tap II: The End Continues,2025,Spinal-Tap-II-The-End-Continues-(2025),,830310.0,466389.0,315696.0,1612395.0,1612395.0,1.9419,1.9419,1.6769,7,1920.0,432.0
Flow,2025,Flow-(2025),,,,,,,,,,,,
Merrily We Roll Along,2025,Merrily-We-Roll-Along-(2025),,495593.0,390972.0,422382.0,1308947.0,1308947.0,2.6412,2.6412,2.0803,-,1084.0,457.0
No Other Land,2025,No-Other-Land-(2025),,,,,,,,,,,,
The Legend of Ochi,2025,The-Legend-of-Ochi-(2025),,,,,,,,,,,,
"Sorry, Baby",2025,Sorry-Baby-(2025),,28768.0,32069.0,25655.0,86492.0,86492.0,3.0065,3.0065,1.8,-,4.0,7192.0
Coolie,2025,Coolie-(2025),,,,,,,,,,,,
September 5,2025,September-5-(2025),,,,,,,,,,,,
The Room Next Door,2025,The-Room-Next-Door-(2025),,,,,,,,,,,,
"Oh, Hi!",2025,Oh-Hi-(2025),,736647.0,217567.0,197358.0,1151572.0,1151572.0,1.5633,1.5633,1.9071,8,866.0,851.0
Detective Chinatown 1900,2025,Detective-Chinatown-1900-(2025),,,,,,,,,,,,
Dogma,2025,Dogma-(2025),,,,,,,,,,,,
Spider-Man/Spider-Man 2/Spider-Man 3,2025,Spider-Man/Spider-Man-2/Spider-Man-3-(2025),,,,,,,,,,,,
The Wedding Banquet,2025,The-Wedding-Banquet-(2025),,,,,,,,,,,,
Sight & Sound Presents: NOAH Live,2025,Sight-and-Sound-Presents-NOAH-Live-(2025),,216369.0,296418.0,574589.0,1087376.0,1087376.0,5.0256,5.0256,2.9384,5,232.0,216369.0
Blue Moon,2025,Blue-Moon-(2025),,22690.0,22370.0,20533.0,65593.0,65593.0,2.8908,2.8908,1.9179,-,5.0,4538.0
Opus,2025,Opus-(2025),,433944.0,331045.0,268128.0,1033117.0,1033117.0,2.3808,2.3808,1.8099,11,1764.0,246.0
Christy,2025,Christy-(2025),400000.0,702585.0,360490.0,247813.0,1710888.0,1310888.0,2.4351,1.8658,1.6874,9,2011.0,349.0
Game Changer,2025,Game-Changer-(2025),,,,,,,,,,,,
Splitsville,2025,Splitsville-(2025),,54571.0,28334.0,25410.0,108315.0,108315.0,1.9848,1.9848,1.8968,-,5.0,10914.0
In the Lost Lands,2025,In-the-Lost-Lands-(2025),,390946.0,396108.0,284965.0,1072019.0,1072019.0,2.7421,2.7421,1.7194,9,1370.0,285.0
Better Man,2025,Better-Man-(2025),,,,,,,,,,,,
Pets on a Train,2025,Pets-on-a-Train-(2025),,,,,,,,,,,,
Jane Austen Wrecked My Life,2025,Jane-Austen-Wrecked-My-Life-(2025),,,,,,,,,,,,
Riff Raff,2025,Riff-Raff-(2025),,313376.0,368780.0,228897.0,911053.0,911053.0,2.9072,2.9072,1.6207,12,1004.0,312.0
Night of the Zoopocalypse,2025,Night-of-the-Zoopocalypse-(2025),,,,,,,,,,,,
Creation of the Gods II: Demon Force,2025,Creation-of-the-Gods-II-Demon-Force-(2025),,,,,,,,,,,,
Casper,2025,Casper-(2025),,,,,,,,,,,,
Kuberaa,2025,Kuberaa-(2025),,,,,,,,,,,,
The Super Mario Galaxy Movie,2026,The-Super-Mario-Galaxy-Movie-(2026),,,,,,,,,,,,
Michael,2026,Michael-(2026),12600000.0,39290344.0,32463413.0,25453117.0,109806874.0,97206874.0,2.7948,2.4741,1.7841,1,3955.0,9934.0
Project Hail Mary,2026,Project-Hail-Mary-(2026),12000000.0,33118027.0,26970821.0,20417159.0,92506007.0,80506007.0,2.7932,2.4309,1.757,1,4007.0,8265.0
Hoppers,2026,Hoppers-(2026),,13540056.0,18864597.0,12945148.0,45349801.0,45349801.0,3.3493,3.3493,1.6862,1,4000.0,3385.0
The Devil Wears Prada 2,2026,The-Devil-Wears-Prada-2-(2026),,,,,,,,,,,,
Star Wars: The Mandalorian and Grogu,2026,Star-Wars-The-Mandalorian-and-Grogu-(2026),12000000.0,33790325.0,25853998.0,22026110.0,93670433.0,81670433.0,2.7721,2.417,1.8519,1,4300.0,7858.0
Scream 7,2026,Scream-7-(2026),7800000.0,29351762.0,21655431.0,12607979.0,71415172.0,63615172.0,2.4331,2.1673,1.5822,1,3540.0,8291.0
Avatar: Fire and Ash,2026,Avatar-Fire-and-Ash-(2026),,,,,,,,,,,,
Obsession,2026,Obsession-(2026),2600000.0,6977085.0,5416910.0,4802860.0,19796855.0,17196855.0,2.8374,2.4648,1.8866,2,2615.0,2668.0
GOAT,2026,GOAT-(2026),1000000.0,7087705.0,11810649.0,8303784.0,28202138.0,27202138.0,3.979,3.8379,1.7031,2,3863.0,1835.0
Backrooms,2026,Backrooms-(2026),10400000.0,38412634.0,24737736.0,18252054.0,91802424.0,81402424.0,2.3899,2.1192,1.7378,1,11160.0,38412634.0
Wuthering Heights,2026,Wuthering-Heights-(2026),3000000.0,10800619.0,14000897.0,8000131.0,35801647.0,32801647.0,3.3148,3.037,1.5714,1,3682.0,2933.0
Mortal Kombat II,2026,Mortal-Kombat-II-(2026),5200000.0,16801022.0,13298057.0,8402098.0,43701177.0,38501177.0,2.6011,2.2916,1.6318,1,3503.0,4796.0
Zootopia 2,2026,Zootopia-2-(2026),,,,,,,,,,,,
Send Help,2026,Send-Help-(2026),2200000.0,7273015.0,7111352.0,4717932.0,21302299.0,19102299.0,2.929,2.6265,1.6634,2,3475.0,2093.0
The Housemaid,2026,The-Housemaid-(2026),,,,,,,,,,,,
Reminders of Him,2026,Reminders-of-Him-(2026),1900000.0,8108715.0,5960260.0,3910965.0,19879940.0,17979940.0,2.4517,2.2174,1.6562,1,3402.0,2384.0
Marty Supreme,2026,Marty-Supreme-(2026),,,,,,,,,,,,
The Sheep Detectives,2026,The-Sheep-Detectives-(2026),,,,,,,,,,,,
Crime 101,2026,Crime-101-(2026),1010000.0,3901026.0,6809561.0,3541247.0,15261834.0,14251834.0,3.9123,3.6534,1.52,3,3161.0,1234.0
The Drama,2026,The-Drama-(2026),,,,,,,,,,,,
Lee Cronin's The Mummy,2026,Lee-Cronins-The-Mummy-(2026),1500000.0,5240987.0,4935612.0,3340573.0,15017172.0,13517172.0,2.8653,2.5791,1.6768,2,3304.0,1586.0
Anaconda,2026,Anaconda-(2026),,,,,,,,,,,,
Iron Lung,2026,Iron-Lung-(2026),3500000.0,8934482.0,5439288.0,3817016.0,21690786.0,18190786.0,2.4278,2.036,1.7017,1,3015.0,2963.0
Dhurandhar: The Revenge,2026,Dhurandhar-The-Revenge-(2026),,,,,,,,,,,,
Solo Mio,2026,Solo-Mio-(2026),744000.0,3229877.0,2701679.0,1069613.0,7745169.0,7001169.0,2.398,2.1676,1.3959,1,3052.0,1058.0
Primate,2026,Primate-(2026),1400000.0,4567365.0,4126955.0,2461588.0,12555908.0,11155908.0,2.749,2.4425,1.5965,2,2964.0,1541.0
28 Years Later: The Bone Temple,2026,28-Years-Later-The-Bone-Temple-(2026),2100000.0,5596864.0,3913350.0,3011113.0,14621327.0,12521327.0,2.6124,2.2372,1.7694,1,3506.0,1596.0
Mercy,2026,Mercy-(2026),1500000.0,5005376.0,3987768.0,1816034.0,12309178.0,10809178.0,2.4592,2.1595,1.4554,1,3468.0,1443.0
Ready or Not 2: Here I Come,2026,Ready-or-Not-2-Here-I-Come-(2026),1200000.0,3844380.0,3154991.0,2075900.0,10275271.0,9075271.0,2.6728,2.3607,1.658,3,3010.0,1277.0
The SpongeBob Movie: Search for SquarePants,2026,The-SpongeBob-Movie-Search-for-SquarePants-(2026),,,,,,,,,,,,
Song Sung Blue,2026,Song-Sung-Blue-(2026),,,,,,,,,,,,
"You, Me & Tuscany",2026,You-Me-and-Tuscany-(2026),750000.0,3157140.0,2837785.0,1758225.0,8503150.0,7753150.0,2.6933,2.4558,1.6196,3,3151.0,1002.0
David,2026,David-(2026),,,,,,,,,,,,
I Can Only Imagine 2,2026,I-Can-Only-Imagine-2-(2026),1800000.0,3753587.0,2411873.0,1585123.0,9550583.0,7750583.0,2.5444,2.0648,1.6572,3,3105.0,1209.0
Undertone,2026,Undertone-(2026),,,,,,,,,,,,
Greenland 2: Migration,2026,Greenland-2-Migration-(2026),900000.0,3269100.0,3206703.0,1925345.0,9301148.0,8401148.0,2.8452,2.5699,1.6004,4,2710.0,1206.0
Hokum,2026,Hokum-(2026),900000.0,2620162.0,2253339.0,1554804.0,7328305.0,6428305.0,2.7969,2.4534,1.69,4,1885.0,1390.0
Passenger,2026,Passenger-(2026),1100000.0,3522058.0,2761776.0,2462963.0,9846797.0,8746797.0,2.7958,2.4834,1.8918,4,2534.0,1390.0
Melania,2026,Melania-(2026),,2861818.0,2303524.0,1996263.0,7161605.0,7161605.0,2.5025,2.5025,1.8666,3,1778.0,1610.0
EPiC: Elvis Presley in Concert,2026,EPiC-Elvis-Presley-in-Concert-(2026),,1422760.0,1067070.0,725608.0,3215438.0,3215438.0,2.26,2.26,1.68,6,325.0,4378.0
Shelter,2026,Shelter-(2026),385000.0,1901152.0,2186953.0,1442923.0,5916028.0,5531028.0,3.1118,2.9093,1.6598,4,2726.0,697.0
Hamnet,2026,Hamnet-(2026),,,,,,,,,,,,
They Will Kill You,2026,They-Will-Kill-You-(2026),1000000.0,2260527.0,1610219.0,1100192.0,5970938.0,4970938.0,2.6414,2.199,1.6833,3,2778.0,814.0
Dracula,2026,Dracula-(2026),,,,,,,,,,,,
The Bride!,2026,The-Bride-(2026),,,,,,,,,,,,
"Good Luck, Have Fun, Don't Die",2026,Good-Luck-Have-Fun-Dont-Die-(2026),450000.0,1426952.0,1365555.0,851768.0,4094275.0,3644275.0,2.8692,2.5539,1.6238,5,1610.0,886.0
Billie Eilish: Hit Me Hard and Soft,2026,Billie-Eilish-Hit-Me-Hard-and-Soft-(2026),,,,,,,,,,,,
The Breadwinner,2026,The-Breadwinner-(2026),,,,,,,,,,,,
No Other Choice,2026,No-Other-Choice-(2026),,,,,,,,,,,,
The Strangers: Chapter 3,2026,The-Strangers-Chapter-3-(2026),,,,,,,,,,,,
I Love Boosters,2026,I-Love-Boosters-(2026),430000.0,1500669.0,1170522.0,1111996.0,4213187.0,3783187.0,2.8075,2.521,1.95,7,1750.0,858.0
How to Make a Killing,2026,How-to-Make-a-Killing-(2026),,1674311.0,1133742.0,680245.0,3488298.0,3488298.0,2.0834,2.0834,1.6,4,1625.0,1030.0
A Great Awakening,2026,A-Great-Awakening-(2026),,,,,,,,,,,,
Wicked: For Good,2026,Wicked-For-Good-(2026),,,,,,,,,,,,
Stray Kids: The Dominate Experience,2026,Stray-Kids-The-Dominate-Experience-(2026),,,,,,,,,,,,
