title,year,numbers_slug,thu_preview,fri,sat,sun,weekend_total_daily,fri_sat_sun_total,fri_to_weekend_mult,fri_sat_sun_mult,sat_to_remaining_mult,opening_rank,opening_theaters,per_theater
Babes,2024,Babes-(2024),,67614.0,59108.0,36408.0,163130.0,163130.0,2.4127,2.4127,1.616,-,12.0,5635.0
In a Violent Nature,2024,In-a-Violent-Nature-(2024),,,,,,,,,,,,
The Apprentice,2024,The-Apprentice-(2024),,,,,,,,,,,,
Perfect Days,2024,Perfect-Days-(2024),,,,,,,,,,,,
Oppenheimer,2024,Oppenheimer-(2024),,,,,,,,,,,,
For King + Country: A Drummer Boy Christmas - Live,2024,For-King-+-Country-A-Drummer-Boy-Christmas-Live-(2024),,,,,,,,,,,,
All of Us Strangers,2024,All-of-Us-Strangers-(2024),,,,,,,,,,,,
Queer,2024,Queer-(2024),,79473.0,27237.0,68789.0,175499.0,175499.0,2.2083,2.2083,3.5256,-,7.0,11353.0
Shrek 2,2024,Shrek-2-(2024),,11786415.0,9158767.0,28340295.0,49285477.0,49285477.0,4.1815,4.1815,4.0943,1,3737.0,3154.0
God's Not Dead: In God We Trust,2024,Gods-Not-Dead-In-God-We-Trust-(2024),,362215.0,464170.0,580419.0,1406804.0,1406804.0,3.8839,3.8839,2.2504,-,1327.0,273.0
Wish,2024,Wish-(2024),,,,,,,,,,,,
Solo Leveling: ReAwakening,2024,Solo-Leveling-ReAwakening-(2024),,,,,,,,,,,,
Strange Darling,2024,Strange-Darling-(2024),,448380.0,385326.0,309222.0,1142928.0,1142928.0,2.549,2.549,1.8025,-,1135.0,395.0
The Lord of the Rings: The Fellowship of the Ring,2024,The-Lord-of-the-Rings-The-Fellowship-of-the-Ring-(2024),,,,,,,,,,,,
2024 Oscar Nominated Short Films: Documentary,2024,2024-Oscar-Nominated-Short-Films-Documentary-(2024),,,,,,,,,,,,
The Front Room,2024,The-Front-Room-(2024),,,,,,,,,,,,
1992,2024,1992-(2024),,461069.0,481377.0,476459.0,1418905.0,1418905.0,3.0774,3.0774,1.9898,-,875.0,527.0
The Long Game,2024,The-Long-Game-(2024),,,,,,,,,,,,
