detected_at,rank,username,wallet,trader_pnl,title,outcome,side,price,size,usdc_size,timestamp,tx_hash,event_slug,condition_id
2026-02-25T07:17:25.791271+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Will the Toronto Raptors win the 2026 NBA Finals?,Yes,BUY,0.007000000441334118,9.063428,0.063444,1772003826,0xe2572fe81571481f4e89aa33ceb9b44b357b6c573efbdba9d6942860b149f437,2026-nba-champion,0x4405c62496c4fdd275d17ec31567a01534013c518c314ce61bb633b5e7cb6426
2026-02-25T07:17:26.532058+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,10,2.7,1772003814,0xb53c45a18862227c6d8cbcb7e8e964b80b4dd29f4acbb2addd9e03053ee0dc35,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:27.226279+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.2700000061473697,13.013696,3.513698,1772003790,0xcee66211ff3b3dc66dbaedec08d5a7265cb4056927bf228e616521ef4f7e8ada,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:27.932302+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,57,15.39,1772003774,0x0e709a90aa6dacc7ca41047078023f55b358628d5f38d691680388f07fbb1d88,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:28.657461+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,13.9726,3.772602,1772003634,0x36e97abfc9dde8c9fa45b93688bd85477a6abb83e4d8dcee2304363b749046ed,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:29.380291+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,66,17.82,1772003626,0xde75f8843a5defc993e9d1e9fa8f5c42c9749bc8141f15387afd61940fb794ac,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:30.121598+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.2700000061473697,13.013696,3.513698,1772003586,0x70a6fd18410fb9926c8ea9f73257e97aa19afa90c4c06f8ad58f213289921422,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:31.246066+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27000001327273004,6.027396,1.627397,1772003582,0x6576298bf7292650e3a078fd1be8fdd1c40a89d5db3c5b5ecad3f7a8723f688c,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:32.411474+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27000018980014046,1.369862,0.369863,1772003570,0x052d7f852f86041b2c6963cf8c1cd6c574a17768e7cdedfb2bab4b6257b00092,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:33.097769+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,78,21.06,1772003556,0x2299e6c767e8343068cd0bd25633f0b0441860afa4ccba4493f4cf5556c2a2c5,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:34.286606+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.27,270.61,73.0647,1772003506,0xea485d26f1979736e021a2dd68dab6f548a39db12ef3398005f01f93a2609fca,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
2026-02-25T07:17:35.037814+00:00,6,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,181004.28954751132,Spurs vs. Raptors,Raptors,BUY,0.2700000584000148,4.109588,1.109589,1772003406,0x67fe7bdd24effdd0f32970210ba9c0d81b0f652aa94485a98961e683b38dcd43,nba-sas-tor-2026-02-25,0x98d80eca2793124db7bb1bb6ba1e91a87e1df52cbd1800402798f9aa4a421163
